Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03032021,1392825587,0001844
Trade Date <03-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,216918,117594,54.21
20,2,21STCENMGM,EQ,2189,2189,100.00
20,3,3IINFOTECH,EQ,8877209,6148246,69.26
20,4,3MINDIA,EQ,10555,4724,44.76
20,5,3PLAND,EQ,13273,10849,81.74
20,6,503KL24,SG,200,0,0.00
20,7,5PAISA,EQ,38408,14233,37.06
20,8,601GS2028,GS,1,1,100.00
20,9,619GS2034,GS,5,5,100.00
20,10,63MOONS,EQ,48066,29793,61.98
20,11,772GS2049,GS,21,21,100.00
20,12,772GS2055,GS,500,500,100.00
20,13,A2ZINFRA,EQ,715000,526440,73.63
20,14,AAATECH,SM,6000,6000,100.00
20,15,AARON,EQ,8096,4934,60.94
20,16,AARTIDRUGS,EQ,1376756,460879,33.48
20,17,AARTIIND,EQ,283821,145494,51.26
20,18,AARTISURF,EQ,21871,20177,92.25
20,19,AARVEEDEN,EQ,7805,5487,70.30
20,20,AARVI,EQ,13872,12131,87.45
20,21,AAVAS,EQ,149912,64121,42.77
20,22,ABAN,EQ,373661,221203,59.20
20,23,ABB,EQ,154956,54495,35.17
20,24,ABBOTINDIA,EQ,12011,6461,53.79
20,25,ABCAPITAL,EQ,3813453,1892757,49.63
20,26,ABFRL,EQ,6527775,2512239,38.49
20,27,ABFRLPP1,E1,112342,80974,72.08
20,28,ABMINTLTD,EQ,17348,8411,48.48
20,29,ABSLBANETF,EQ,580,313,53.97
20,30,ABSLNN50ET,EQ,718,160,22.28
20,31,ABSLRIF6RG,MF,11169,11169,100.00
20,32,ACC,EQ,841356,212289,25.23
20,33,ACCELYA,EQ,2345,1165,49.68
20,34,ACCORD,SM,2000,2000,100.00
20,35,ACCURACY,EQ,5944,3292,55.38
20,36,ACE,EQ,145682,75557,51.86
20,37,ACRYSIL,EQ,173820,93698,53.91
20,38,ADANIENT,EQ,11670544,1013517,8.68
20,39,ADANIGREEN,EQ,494659,274694,55.53
