Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,23032021,807501166,0001831
Trade Date <23-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,71527,66118,92.44
20,2,21STCENMGM,EQ,432,432,100.00
20,3,3IINFOTECH,EQ,5993254,3447475,57.52
20,4,3MINDIA,EQ,4075,2046,50.21
20,5,3PLAND,EQ,5937,3208,54.03
20,6,5PAISA,EQ,12411,6896,55.56
20,7,63MOONS,EQ,30964,21782,70.35
20,8,716GS2050,GS,26,26,100.00
20,9,A2ZINFRA,EQ,522544,393303,75.27
20,10,AAATECH,SM,9000,6000,66.67
20,11,AARON,EQ,3640,2404,66.04
20,12,AARTIDRUGS,EQ,1377341,307498,22.33
20,13,AARTIIND,EQ,160221,81902,51.12
20,14,AARTISURF,EQ,7602,4441,58.42
20,15,AARVEEDEN,EQ,76693,20306,26.48
20,16,AARVI,EQ,5727,2468,43.09
20,17,AAVAS,EQ,170535,71344,41.84
20,18,ABAN,EQ,63631,43828,68.88
20,19,ABB,EQ,68727,37882,55.12
20,20,ABBOTINDIA,EQ,10124,6545,64.65
20,21,ABCAPITAL,EQ,2129656,689214,32.36
20,22,ABFRL,EQ,1086006,607967,55.98
20,23,ABFRLPP1,E1,1740,1491,85.69
20,24,ABMINTLTD,EQ,1500,1450,96.67
20,25,ABSLBANETF,EQ,62,24,38.71
20,26,ABSLNN50ET,EQ,17,13,76.47
20,27,ABSLRIF6RG,MF,25251,25231,99.92
20,28,ACC,EQ,1921529,231503,12.05
20,29,ACCELYA,EQ,1392,927,66.59
20,30,ACCURACY,EQ,43711,39166,89.60
20,31,ACE,EQ,261745,186065,71.09
20,32,ACRYSIL,EQ,68941,42370,61.46
20,33,ADANIENT,EQ,31098225,2122727,6.83
20,34,ADANIGREEN,EQ,2252589,1204480,53.47
20,35,ADANIPORTS,EQ,30612174,3171865,10.36
20,36,ADANIPOWER,EQ,10903571,6236966,57.20
20,37,ADANITRANS,EQ,3050761,1214950,39.82
20,38,ADFFOODS,EQ,21717,7264,33.45
20,39,ADHUNIKIND,EQ,13292,7209,54.24
20,40,ADORWELD,EQ,14450,7929,54.87
20,41,ADSL,EQ,143793,95560,66.46
20,42,ADVANIHOTR,EQ,14042,11225,79.94
20,43,ADVENZYMES,EQ,194321,106793,54.96
20,44,AEGISCHEM,EQ,185570,98693,53.18
20,45,AFFLE,EQ,89630,54405,60.70
20,46,AGCNET,EQ,5500,4052,73.67
20,47,AGRITECH,EQ,6583,3423,52.00
20,48,AGROPHOS,EQ,214817,133378,62.09
20,49,AHLADA,EQ,2385,1698,71.19
20,50,AHLEAST,EQ,1771,1409,79.56
20,51,AHLUCONT,EQ,22941,12590,54.88
20,52,AHLWEST,EQ,389,265,68.12
20,53,AIAENG,EQ,46351,28222,60.89
20,54,AIRAN,EQ,102687,87898,85.60
20,55,AIROLAM,SM,9000,9000,100.00
20,56,AISL,SM,24000,9600,40.00
20,57,AJANTPHARM,EQ,111413,66549,59.73
20,58,AJMERA,EQ,120261,57075,47.46
20,59,AKASH,EQ,13412,7202,53.70
20,60,AKG,EQ,448,448,100.00
20,61,AKSHARCHEM,EQ,10130,6148,60.69
20,62,AKSHOPTFBR,EQ,289057,202039,69.90
20,63,AKZOINDIA,EQ,34297,23415,68.27
20,64,ALANKIT,EQ,66781,54531,81.66
20,65,ALBERTDAVD,EQ,10023,7051,70.35
20,66,ALEMBICLTD,EQ,9578347,2279079,23.79
20,67,ALICON,EQ,37030,10970,29.62
20,68,ALKALI,EQ,19260,8651,44.92
20,69,ALKEM,EQ,98033,52751,53.81
20,70,ALKYLAMINE,EQ,283631,58978,20.79
20,71,ALLCARGO,EQ,84139,51045,60.67
20,72,ALLSEC,EQ,31912,12689,39.76
20,73,ALMONDZ,EQ,5400,3130,57.96
20,74,ALOKINDS,EQ,8914177,3619993,40.61
20,75,ALPA,EQ,67967,29396,43.25
20,76,ALPHAGEO,EQ,17993,8156,45.33
20,77,AMARAJABAT,EQ,495199,168256,33.98
20,78,AMBER,EQ,123014,88151,71.66
20,79,AMBIKCO,EQ,68239,53354,78.19
20,80,AMBUJACEM,EQ,11750637,2525906,21.50
20,81,AMJLAND,EQ,16757,13839,82.59
20,82,AMRUTANJAN,EQ,37954,17280,45.53
20,83,ANANTRAJ,EQ,479764,378936,78.98
20,84,ANDHRACEMT,EQ,300251,223541,74.45
