Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01032021,1123540290,0001844
Trade Date <01-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,126886,86420,68.11
20,2,21STCENMGM,EQ,2571,2561,99.61
20,3,3IINFOTECH,EQ,7851294,5387870,68.62
20,4,3MINDIA,EQ,17103,9804,57.32
20,5,3PLAND,EQ,13330,8333,62.51
20,6,579GS2030,GS,6,6,100.00
20,7,5PAISA,EQ,40788,19381,47.52
20,8,63MOONS,EQ,92225,55294,59.96
20,9,772GS2049,GS,3,3,100.00
20,10,772GS2055,GS,123700,123700,100.00
20,11,795GS2032,GS,10,10,100.00
20,12,A2ZINFRA,EQ,226640,186936,82.48
20,13,AAATECH,SM,6000,6000,100.00
20,14,AARON,EQ,8244,2071,25.12
20,15,AARTIDRUGS,EQ,182237,82017,45.01
20,16,AARTIIND,EQ,342259,153704,44.91
20,17,AARTISURF,EQ,12679,8313,65.57
20,18,AARVEEDEN,EQ,6825,5887,86.26
20,19,AARVI,EQ,8917,6819,76.47
20,20,AAVAS,EQ,43000,31376,72.97
20,21,ABAN,EQ,579518,334861,57.78
20,22,ABB,EQ,61354,15581,25.40
20,23,ABBOTINDIA,EQ,19828,13520,68.19
20,24,ABCAPITAL,EQ,12882971,3514162,27.28
20,25,ABFRL,EQ,7958240,3314139,41.64
20,26,ABFRLPP1,E1,54881,38592,70.32
20,27,ABMINTLTD,EQ,9133,7004,76.69
20,28,ABSLBANETF,EQ,250,171,68.40
20,29,ABSLNN50ET,EQ,363,36,9.92
20,30,ABSLRIF6RG,MF,2900,2900,100.00
20,31,ACC,EQ,890744,212673,23.88
20,32,ACCELYA,EQ,3350,2044,61.01
20,33,ACCURACY,EQ,12591,7577,60.18
20,34,ACE,EQ,170729,70237,41.14
20,35,ACRYSIL,EQ,24773,23757,95.90
20,36,ADANIENT,EQ,5996840,798167,13.31
20,37,ADANIGREEN,EQ,448402,267258,59.60
20,38,ADANIPORTS,EQ,11600468,2350242,20.26
20,39,ADANIPOWER,EQ,4632559,1821279,39.31
20,40,ADANITRANS,EQ,391954,206841,52.77
20,41,ADFFOODS,EQ,17084,8001,46.83
20,42,ADHUNIKIND,EQ,36863,12651,34.32
20,43,ADORWELD,EQ,21284,16923,79.51
20,44,ADROITINFO,EQ,4010,3985,99.38
20,45,ADSL,EQ,132179,90553,68.51
20,46,ADVANIHOTR,EQ,7484,6956,92.94
20,47,ADVENZYMES,EQ,277052,123938,44.73
20,48,AEGISCHEM,EQ,667889,315076,47.17
20,49,AFFLE,EQ,78483,51154,65.18
20,50,AGCNET,EQ,11301,10062,89.04
20,51,AGRITECH,EQ,6463,3898,60.31
20,52,AGROPHOS,EQ,49953,36829,73.73
20,53,AHLADA,EQ,47617,40691,85.45
20,54,AHLEAST,EQ,6235,4547,72.93
20,55,AHLUCONT,EQ,24247,10683,44.06
20,56,AHLWEST,EQ,522,336,64.37
20,57,AIAENG,EQ,49413,35525,71.89
20,58,AIRAN,EQ,41594,34021,81.79
20,59,AIROLAM,SM,6000,6000,100.00
20,60,AISL,SM,32400,9600,29.63
20,61,AJANTPHARM,EQ,147812,70893,47.96
20,62,AJMERA,EQ,32701,17053,52.15
20,63,AJOONI,SM,8000,8000,100.00
20,64,AKASH,EQ,17556,16199,92.27
20,65,AKG,EQ,45510,18345,40.31
20,66,AKSHARCHEM,EQ,33667,24014,71.33
20,67,AKSHOPTFBR,EQ,212514,135378,63.70
20,68,AKZOINDIA,EQ,30719,19077,62.10
20,69,ALANKIT,EQ,100991,68115,67.45
20,70,ALBERTDAVD,EQ,13537,9877,72.96
20,71,ALEMBICLTD,EQ,220457,109457,49.65
20,72,ALICON,EQ,21299,7750,36.39
20,73,ALKALI,EQ,32610,21087,64.66
20,74,ALKEM,EQ,75867,37065,48.86
20,75,ALKYLAMINE,EQ,14190,5568,39.24
20,76,ALLCARGO,EQ,165398,99934,60.42
20,77,ALLSEC,EQ,6036,3975,65.85
20,78,ALMONDZ,EQ,17516,11185,63.86
20,79,ALOKINDS,EQ,7744360,4326099,55.86
20,80,ALPA,EQ,59401,37507,63.14
20,81,ALPHAGEO,EQ,21050,12547,59.61
20,82,AMARAJABAT,EQ,694023,151016,21.76
20,83,AMBER,EQ,98156,43243,44.06
20,84,AMBIKCO,EQ,27971,18421,65.86
20,85,AMBUJACEM,EQ,4095441,1164176,28.43
20,86,AMDIND,EQ,659514,231706,35.13
20,87,AMJLAND,EQ,9858,8436,85.58
20,88,AMJUMBO,SM,120000,80000,66.67
20,89,AMRUTANJAN,EQ,32021,17516,54.70
20,90,ANANTRAJ,EQ,1558992,911573,58.47
20,91,ANDHRACEMT,EQ,217049,154703,71.28
20,92,ANDHRAPAP,EQ,199423,142550,71.48
20,93,ANDHRSUGAR,EQ,67752,38655,57.05
20,94,ANGELBRKG,EQ,31062,15830,50.96
20,95,ANIKINDS,EQ,27997,18450,65.90
20,96,ANKITMETAL,EQ,72164,51640,71.56
20,97,ANSALAPI,EQ,146735,95814,65.30
20,98,ANSALHSG,EQ,56497,45836,81.13
20,99,ANUP,EQ,56192,38956,69.33
20,100,APARINDS,EQ,51419,25380,49.36
20,101,APCL,EQ,92167,48129,52.22
20,102,APCOTEXIND,EQ,352761,109308,30.99
20,103,APEX,EQ,80321,43611,54.30
20,104,APLAPOLLO,EQ,603703,415374,68.80
20,105,APLLTD,EQ,444155,233520,52.58
20,106,APOLLO,EQ,278391,91658,32.92
20,107,APOLLOHOSP,EQ,678218,182741,26.94
20,108,APOLLOPIPE,EQ,34320,16837,49.06
20,109,APOLLOTYRE,EQ,14941186,2117165,14.17
20,110,APOLSINHOT,EQ,1087,573,52.71
20,111,APTECHT,EQ,451916,119071,26.35
20,112,ARCHIES,EQ,53862,46260,85.89
20,113,ARENTERP,EQ,3384,2877,85.02
20,114,ARIES,EQ,184794,90779,49.12
20,115,ARIHANT,EQ,1515,1410,93.07
20,116,ARIHANTSUP,EQ,15193,2604,17.14
20,117,ARMANFIN,EQ,52829,28165,53.31
20,118,AROGRANITE,EQ,72790,42016,57.72
20,119,ARSSINFRA,EQ,32948,22718,68.95
20,120,ARTEMISMED,EQ,3607,3334,92.43
20,121,ARVIND,EQ,2210565,1066942,48.27
20,122,ARVINDFASN,EQ,174007,93202,53.56
20,123,ARVSMART,EQ,215526,111976,51.95
20,124,ASAHIINDIA,EQ,26607,17341,65.17
20,125,ASAHISONG,EQ,25740,12061,46.86
20,126,ASALCBR,EQ,41059,20905,50.91
20,127,ASHAPURMIN,EQ,115408,66706,57.80
20,128,ASHIANA,EQ,73519,39103,53.19
20,129,ASHIMASYN,EQ,677576,426520,62.95
20,130,ASHOKA,EQ,944045,273403,28.96
20,131,ASHOKLEY,EQ,34897746,5814764,16.66
20,132,ASIANHOTNR,EQ,20747,9776,47.12
20,133,ASIANPAINT,EQ,2545806,862344,33.87
20,134,ASIANTILES,EQ,1298278,682141,52.54
20,135,ASPINWALL,EQ,3476,2628,75.60
20,136,ASTEC,EQ,18146,8663,47.74
20,137,ASTERDM,EQ,135074,62934,46.59
20,138,ASTRAL,EQ,116757,58741,50.31
20,139,ASTRAMICRO,EQ,1828130,859785,47.03
20,140,ASTRAZEN,EQ,22118,6162,27.86
20,141,ASTRON,EQ,30323,16704,55.09
20,142,ATFL,EQ,3685,2020,54.82
20,143,ATGL,EQ,1103126,533959,48.40
20,144,ATLANTA,EQ,10809,7574,70.07
20,145,ATUL,EQ,25829,12218,47.30
20,146,ATULAUTO,EQ,1990169,623594,31.33
20,147,AUBANK,EQ,754157,451913,59.92
20,148,AURIONPRO,EQ,14870,10011,67.32
20,149,AUROPHARMA,EQ,1653424,469191,28.38
20,150,AUSOMENT,EQ,8943,5273,58.96
20,151,AUTOAXLES,EQ,7485,4561,60.94
20,152,AUTOIND,EQ,30632,21953,71.67
20,153,AVADHSUGAR,EQ,120062,34277,28.55
20,154,AVANTIFEED,EQ,135236,71594,52.94
20,155,AVTNPL,EQ,70293,44253,62.96
20,156,AWHCL,EQ,96865,69060,71.30
20,157,AXISBANK,EQ,14301187,3935516,27.52
20,158,AXISBNKETF,EQ,917,792,86.37
20,159,AXISCADES,EQ,28778,20917,72.68
20,160,AXISGOLD,EQ,304610,227167,74.58
20,161,AXISNIFTY,EQ,3861,2509,64.98
20,162,AYMSYNTEX,EQ,44054,35265,80.05
20,163,BAFNAPH,EQ,2321,1921,82.77
20,164,BAGFILMS,EQ,64457,49915,77.44
20,165,BAJAJ-AUTO,EQ,724589,187919,25.93
20,166,BAJAJCON,EQ,561101,221854,39.54
20,167,BAJAJELEC,EQ,278803,71124,25.51
20,168,BAJAJFINSV,EQ,322437,38129,11.83
20,169,BAJAJHIND,EQ,12881191,6349145,49.29
20,170,BAJAJHLDNG,EQ,76867,64296,83.65
20,171,BAJFINANCE,EQ,2031881,353051,17.38
20,172,BALAJITELE,EQ,373440,140584,37.65
20,173,BALAMINES,EQ,138038,46398,33.61
20,174,BALAXI,EQ,1154,877,76.00
20,175,BALKRISIND,EQ,365513,86390,23.64
20,176,BALMLAWRIE,EQ,1529035,666509,43.59
20,177,BALPHARMA,EQ,25462,12539,49.25
20,178,BALRAMCHIN,EQ,1627117,540297,33.21
20,179,BANARBEADS,EQ,8560,6007,70.18
20,180,BANARISUG,EQ,1752,1086,61.99
20,181,BANCOINDIA,EQ,133738,42982,32.14
20,182,BANDHANBNK,EQ,6356872,1805184,28.40
20,183,BANG,EQ,6062,4000,65.98
20,184,BANKA,EQ,3284,1689,51.43
20,185,BANKBARODA,EQ,51758155,11556175,22.33
20,186,BANKBEES,EQ,847397,259349,30.61
20,187,BANKINDIA,EQ,4473304,1546229,34.57
20,188,BANSWRAS,EQ,47777,28841,60.37
20,189,BASF,EQ,50898,29177,57.32
20,190,BASML,EQ,10279,6248,60.78
20,191,BATAINDIA,EQ,540241,167035,30.92
20,192,BAYERCROP,EQ,16869,9139,54.18
20,193,BBL,EQ,10248,5246,51.19
20,194,BBTC,EQ,51082,22946,44.92
20,195,BCG,EQ,3050517,2077336,68.10
20,196,BCP,EQ,21806,21804,99.99
20,197,BDL,EQ,1299286,420131,32.34
20,198,BEARDSELL,EQ,11186,11186,100.00
20,199,BECTORFOOD,EQ,648802,250730,38.65
20,200,BEDMUTHA,EQ,5210,3491,67.01
20,201,BEL,EQ,20686485,5789967,27.99
20,202,BEML,EQ,2250849,317926,14.12
20,203,BEPL,EQ,911459,391633,42.97
20,204,BERGEPAINT,EQ,2028724,417268,20.57
20,205,BESTAGRO,EQ,1271,423,33.28
20,206,BETA,SM,5600,5600,100.00
20,207,BFINVEST,EQ,39007,11330,29.05
20,208,BFUTILITIE,EQ,343340,128164,37.33
20,209,BGRENERGY,EQ,388102,169047,43.56
20,210,BHAGERIA,EQ,35107,18595,52.97
20,211,BHAGYANGR,EQ,23958,23957,100.00
