Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,24032021,965318537,0001814
Trade Date <24-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,30346,22008,72.52
20,2,21STCENMGM,EQ,107089,104088,97.20
20,3,3IINFOTECH,EQ,6449132,3635276,56.37
20,4,3MINDIA,EQ,10338,6383,61.74
20,5,3PLAND,EQ,4624,2944,63.67
20,6,5PAISA,EQ,11987,6799,56.72
20,7,63MOONS,EQ,54812,39565,72.18
20,8,719GS2060,GS,1,1,100.00
20,9,A2ZINFRA,EQ,420373,297548,70.78
20,10,AAATECH,SM,9000,6000,66.67
20,11,AARON,EQ,2800,2052,73.29
20,12,AARTIDRUGS,EQ,1657594,316750,19.11
20,13,AARTIIND,EQ,3097098,343774,11.10
20,14,AARTISURF,EQ,8236,3794,46.07
20,15,AARVEEDEN,EQ,8209,6780,82.59
20,16,AARVI,EQ,3367,1724,51.20
20,17,AAVAS,EQ,120820,71085,58.84
20,18,ABAN,EQ,91288,68350,74.87
20,19,ABB,EQ,62821,23686,37.70
20,20,ABBOTINDIA,EQ,12291,7566,61.56
20,21,ABCAPITAL,EQ,2419900,1171741,48.42
20,22,ABFRL,EQ,768365,334046,43.47
20,23,ABFRLPP1,E1,13578,12628,93.00
20,24,ABMINTLTD,EQ,61,61,100.00
20,25,ABSLBANETF,EQ,473,193,40.80
20,26,ABSLNN50ET,EQ,42,25,59.52
20,27,ACC,EQ,1293661,245506,18.98
20,28,ACCELYA,EQ,1419,929,65.47
20,29,ACCURACY,EQ,6045,5746,95.05
20,30,ACE,EQ,459741,301086,65.49
20,31,ACRYSIL,EQ,115706,55058,47.58
20,32,ADANIENT,EQ,22877032,1767687,7.73
20,33,ADANIGREEN,EQ,1159456,410608,35.41
20,34,ADANIPORTS,EQ,21213413,2649194,12.49
20,35,ADANIPOWER,EQ,23899912,11682350,48.88
20,36,ADANITRANS,EQ,2795118,1236687,44.24
20,37,ADFFOODS,EQ,40401,22661,56.09
20,38,ADHUNIKIND,EQ,15626,12831,82.11
20,39,ADORWELD,EQ,8773,4598,52.41
20,40,ADSL,EQ,118893,84881,71.39
20,41,ADVANIHOTR,EQ,14216,11167,78.55
20,42,ADVENZYMES,EQ,167241,94666,56.60
20,43,AEGISCHEM,EQ,180152,108686,60.33
20,44,AFFLE,EQ,82332,40989,49.79
20,45,AGCNET,EQ,7807,7530,96.45
20,46,AGRITECH,EQ,4059,2333,57.48
20,47,AGROPHOS,EQ,397003,215391,54.25
20,48,AHLADA,EQ,2488,1589,63.87
20,49,AHLEAST,EQ,662,509,76.89
20,50,AHLUCONT,EQ,43379,16197,37.34
20,51,AHLWEST,EQ,2888,741,25.66
20,52,AIAENG,EQ,73350,56246,76.68
20,53,AIRAN,EQ,444776,376268,84.60
20,54,AISL,SM,21600,0,0.00
20,55,AJANTPHARM,EQ,130838,90646,69.28
20,56,AJMERA,EQ,81735,41673,50.99
20,57,AJOONI,SM,4444,4444,100.00
20,58,AKASH,EQ,3284,1758,53.53
20,59,AKG,EQ,265,265,100.00
20,60,AKSHARCHEM,EQ,10393,7218,69.45
20,61,AKSHOPTFBR,EQ,1062612,668649,62.93
20,62,AKZOINDIA,EQ,13874,8226,59.29
20,63,ALANKIT,EQ,53248,44024,82.68
20,64,ALBERTDAVD,EQ,8132,5812,71.47
20,65,ALEMBICLTD,EQ,5827018,1226791,21.05
20,66,ALICON,EQ,11987,7142,59.58
20,67,ALKALI,EQ,22619,16697,73.82
20,68,ALKEM,EQ,120095,34902,29.06
20,69,ALKYLAMINE,EQ,97675,26607,27.24
20,70,ALLCARGO,EQ,80950,55015,67.96
20,71,ALLSEC,EQ,16892,10334,61.18
20,72,ALMONDZ,EQ,21457,15939,74.28
20,73,ALOKINDS,EQ,8228069,4499111,54.68
20,74,ALPA,EQ,20691,12274,59.32
20,75,ALPHAGEO,EQ,13140,11355,86.42
20,76,AMARAJABAT,EQ,550106,142320,25.87
20,77,AMBER,EQ,139698,100916,72.24
20,78,AMBIKCO,EQ,13366,8103,60.62
20,79,AMBUJACEM,EQ,9936778,3086834,31.06
20,80,AMJLAND,EQ,13192,8961,67.93
20,81,AMRUTANJAN,EQ,127141,52604,41.37
20,82,ANANTRAJ,EQ,547335,337879,61.73
20,83,ANDHRACEMT,EQ,141693,111371,78.60
20,84,ANDHRAPAP,EQ,17097,11907,69.64
20,85,ANDHRSUGAR,EQ,45115,21362,47.35
20,86,ANGELBRKG,EQ,23497,13805,58.75
20,87,ANIKINDS,EQ,14329,8075,56.35
20,88,ANKITMETAL,EQ,41826,41026,98.09
20,89,ANSALAPI,EQ,59655,40248,67.47
20,90,ANSALHSG,EQ,139008,65801,47.34
20,91,ANUP,EQ,60207,53941,89.59
20,92,ANURAS,EQ,16135816,4594968,28.48
20,93,APARINDS,EQ,34972,25611,73.23
20,94,APCL,EQ,36623,14564,39.77
20,95,APCOTEXIND,EQ,84785,28910,34.10
20,96,APEX,EQ,71165,43156,60.64
20,97,APLAPOLLO,EQ,266882,148803,55.76
20,98,APLLTD,EQ,349869,164182,46.93
20,99,APOLLO,EQ,56207,30821,54.83
20,100,APOLLOHOSP,EQ,627981,268373,42.74
20,101,APOLLOPIPE,EQ,64850,26643,41.08
20,102,APOLLOTYRE,EQ,5744918,1437061,25.01
20,103,APOLSINHOT,EQ,1469,1078,73.38
20,104,APTECHT,EQ,419696,267142,63.65
20,105,ARCHIES,EQ,37949,29817,78.57
20,106,ARENTERP,EQ,1421,996,70.09
20,107,ARIES,EQ,43948,28865,65.68
20,108,ARIHANT,EQ,9566,5799,60.62
20,109,ARIHANTSUP,EQ,24628,3092,12.55
20,110,ARMANFIN,EQ,13119,11292,86.07
20,111,AROGRANITE,EQ,42569,31005,72.83
20,112,ARSSINFRA,EQ,7335,6304,85.94
20,113,ARTEMISMED,EQ,1412,1113,78.82
20,114,ARTNIRMAN,SM,6000,6000,100.00
20,115,ARVEE,EQ,100,100,100.00
20,116,ARVIND,EQ,863720,507243,58.73
20,117,ARVINDFASN,EQ,135489,68777,50.76
20,118,ARVSMART,EQ,49867,20608,41.33
20,119,ASAHIINDIA,EQ,52169,39433,75.59
