Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02032021,1233368757,0001822
Trade Date <02-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,63874,34810,54.50
20,2,21STCENMGM,EQ,1345,1321,98.22
20,3,3IINFOTECH,EQ,9360087,5586759,59.69
20,4,3MINDIA,EQ,9923,5036,50.75
20,5,3PLAND,EQ,9385,7280,77.57
20,6,5PAISA,EQ,45906,16531,36.01
20,7,63MOONS,EQ,49044,34364,70.07
20,8,667GS2050,GS,500,500,100.00
20,9,74GS2035,GS,100,100,100.00
20,10,A2ZINFRA,EQ,401022,270682,67.50
20,11,AAATECH,SM,3000,3000,100.00
20,12,AARON,EQ,2259,1033,45.73
20,13,AARTIDRUGS,EQ,403170,168880,41.89
20,14,AARTIIND,EQ,594403,281043,47.28
20,15,AARTISURF,EQ,12205,7948,65.12
20,16,AARVEEDEN,EQ,11675,8647,74.06
20,17,AARVI,EQ,13045,11208,85.92
20,18,AAVAS,EQ,90826,70818,77.97
20,19,ABAN,EQ,401608,231831,57.73
20,20,ABB,EQ,56964,17271,30.32
20,21,ABBOTINDIA,EQ,8953,5128,57.28
20,22,ABCAPITAL,EQ,3588936,1803297,50.25
20,23,ABFRL,EQ,9727547,4378414,45.01
20,24,ABFRLPP1,E1,165789,129813,78.30
20,25,ABMINTLTD,EQ,1856,1856,100.00
20,26,ABSLBANETF,EQ,197,184,93.40
20,27,ABSLNN50ET,EQ,451,27,5.99
20,28,ABSLRIF6RG,MF,1446,1446,100.00
20,29,ACC,EQ,824150,218314,26.49
20,30,ACCELYA,EQ,4744,2944,62.06
20,31,ACCURACY,EQ,14231,9483,66.64
20,32,ACE,EQ,164635,80223,48.73
20,33,ACRYSIL,EQ,147309,88461,60.05
20,34,ADANIENT,EQ,5116413,749826,14.66
20,35,ADANIGREEN,EQ,521226,303818,58.29
20,36,ADANIPORTS,EQ,11486477,1582541,13.78
20,37,ADANIPOWER,EQ,33280011,15532248,46.67
20,38,ADANITRANS,EQ,762353,336193,44.10
20,39,ADFFOODS,EQ,62662,25575,40.81
20,40,ADHUNIKIND,EQ,38141,24562,64.40
20,41,ADORWELD,EQ,73508,42868,58.32
20,42,ADROITINFO,EQ,4868,4868,100.00
20,43,ADSL,EQ,228882,138980,60.72
20,44,ADVANIHOTR,EQ,8895,8231,92.54
20,45,ADVENZYMES,EQ,195177,72539,37.17
20,46,AEGISCHEM,EQ,386479,239305,61.92
20,47,AFFLE,EQ,94132,63477,67.43
20,48,AGCNET,EQ,5102,4391,86.06
20,49,AGRITECH,EQ,6177,3477,56.29
20,50,AGROPHOS,EQ,52909,46245,87.40
20,51,AHLADA,EQ,14612,12346,84.49
20,52,AHLEAST,EQ,4059,3197,78.76
20,53,AHLUCONT,EQ,14437,7740,53.61
20,54,AHLWEST,EQ,1275,493,38.67
20,55,AIAENG,EQ,38165,27985,73.33
20,56,AIRAN,EQ,19715,15136,76.77
20,57,AISL,SM,12000,4800,40.00
20,58,AJANTPHARM,EQ,67069,31767,47.36
20,59,AJMERA,EQ,118877,47836,40.24
20,60,AKASH,EQ,50579,49129,97.13
20,61,AKG,EQ,45385,27880,61.43
20,62,AKSHARCHEM,EQ,46572,20777,44.61
20,63,AKSHOPTFBR,EQ,289677,173142,59.77
20,64,AKZOINDIA,EQ,26115,15930,61.00
20,65,ALANKIT,EQ,93354,72321,77.47
20,66,ALBERTDAVD,EQ,8512,5745,67.49
20,67,ALEMBICLTD,EQ,239887,142107,59.24
20,68,ALICON,EQ,33239,15437,46.44
20,69,ALKALI,EQ,20442,12108,59.23
20,70,ALKEM,EQ,189764,77356,40.76
20,71,ALKYLAMINE,EQ,69320,22875,33.00
20,72,ALLCARGO,EQ,237743,162296,68.27
20,73,ALLSEC,EQ,5111,2610,51.07
20,74,ALMONDZ,EQ,5410,4339,80.20
20,75,ALOKINDS,EQ,5837375,3142776,53.84
20,76,ALPA,EQ,52059,35466,68.13
20,77,ALPHAGEO,EQ,14344,11410,79.55
20,78,AMARAJABAT,EQ,745895,299933,40.21
20,79,AMBER,EQ,64002,28250,44.14
20,80,AMBIKCO,EQ,20555,15051,73.22
20,81,AMBUJACEM,EQ,4657410,1241871,26.66
20,82,AMDIND,EQ,187599,110702,59.01
20,83,AMJLAND,EQ,39982,35404,88.55
20,84,AMRUTANJAN,EQ,63465,33826,53.30
20,85,ANANTRAJ,EQ,1308860,987483,75.45
20,86,ANDHRACEMT,EQ,234676,164778,70.22
20,87,ANDHRAPAP,EQ,278621,174135,62.50
20,88,ANDHRSUGAR,EQ,119052,56514,47.47
20,89,ANGELBRKG,EQ,54875,36455,66.43
