Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17032021,1007883616,0001827
Trade Date <17-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,80160,50456,62.94
20,2,21STCENMGM,EQ,1338,1338,100.00
20,3,3IINFOTECH,EQ,22283355,9138339,41.01
20,4,3MINDIA,EQ,4168,2485,59.62
20,5,3PLAND,EQ,20058,12880,64.21
20,6,5PAISA,EQ,16518,9291,56.25
20,7,622GS2035,GS,216,216,100.00
20,8,63MOONS,EQ,105459,71659,67.95
20,9,68GS2060,GS,790,400,50.63
20,10,719GS2060,GS,102,102,100.00
20,11,772GS2049,GS,649,649,100.00
20,12,A2ZINFRA,EQ,400489,274336,68.50
20,13,AAATECH,SM,3000,3000,100.00
20,14,AARON,EQ,3186,2947,92.50
20,15,AARTIDRUGS,EQ,365395,136499,37.36
20,16,AARTIIND,EQ,180955,117103,64.71
20,17,AARTISURF,EQ,10558,6625,62.75
20,18,AARVEEDEN,EQ,15525,14155,91.18
20,19,AARVI,EQ,3207,2380,74.21
20,20,AAVAS,EQ,71251,40373,56.66
20,21,ABAN,EQ,180023,144384,80.20
20,22,ABB,EQ,47127,17715,37.59
20,23,ABBOTINDIA,EQ,9390,4902,52.20
20,24,ABCAPITAL,EQ,4256074,1431148,33.63
20,25,ABFRL,EQ,1958402,1173060,59.90
20,26,ABFRLPP1,E1,44189,39876,90.24
20,27,ABMINTLTD,EQ,754,687,91.11
20,28,ABSLBANETF,EQ,652,158,24.23
20,29,ABSLFTSARN,MF,100,100,100.00
20,30,ABSLNN50ET,EQ,27,14,51.85
20,31,ABSLRIF6RG,MF,222254,222254,100.00
20,32,ACC,EQ,871784,319623,36.66
20,33,ACCELYA,EQ,2489,1756,70.55
20,34,ACCURACY,EQ,14653,10487,71.57
20,35,ACE,EQ,744640,540497,72.59
20,36,ACRYSIL,EQ,95302,52661,55.26
20,37,ADANIENT,EQ,3886557,612406,15.76
20,38,ADANIGREEN,EQ,407312,234105,57.48
20,39,ADANIPORTS,EQ,8151544,1600958,19.64
20,40,ADANIPOWER,EQ,39254374,12907573,32.88
20,41,ADANITRANS,EQ,505377,307480,60.84
20,42,ADFFOODS,EQ,22957,9342,40.69
20,43,ADHUNIKIND,EQ,10806,6612,61.19
20,44,ADORWELD,EQ,13297,8263,62.14
20,45,ADSL,EQ,719726,367893,51.12
20,46,ADVANIHOTR,EQ,23306,15016,64.43
20,47,ADVENZYMES,EQ,373415,194765,52.16
20,48,AEGISCHEM,EQ,330800,209373,63.29
20,49,AFFLE,EQ,35557,20883,58.73
20,50,AGCNET,EQ,9698,8117,83.70
20,51,AGRITECH,EQ,5598,3230,57.70
20,52,AGROPHOS,EQ,85565,44911,52.49
20,53,AHLADA,EQ,5830,4722,80.99
20,54,AHLEAST,EQ,1923,1244,64.69
20,55,AHLUCONT,EQ,9816,7712,78.57
20,56,AHLWEST,EQ,835,302,36.17
20,57,AIAENG,EQ,31851,27624,86.73
20,58,AIRAN,EQ,330958,317831,96.03
20,59,AIROLAM,SM,9000,3000,33.33
20,60,AISL,SM,25200,2400,9.52
20,61,AJANTPHARM,EQ,41811,19200,45.92
20,62,AJMERA,EQ,36664,17273,47.11
20,63,AJOONI,SM,31108,26664,85.71
20,64,AKASH,EQ,112564,47576,42.27
20,65,AKG,EQ,109717,94383,86.02
