Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,19032021,1476505843,0001822
Trade Date <19-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,122629,77984,63.59
20,2,21STCENMGM,EQ,1864,1864,100.00
20,3,3IINFOTECH,EQ,26852282,9343934,34.80
20,4,3MINDIA,EQ,11797,7487,63.47
20,5,3PLAND,EQ,16918,13478,79.67
20,6,5PAISA,EQ,33734,21450,63.59
20,7,63MOONS,EQ,88810,57924,65.22
20,8,68GS2060,GS,50,50,100.00
20,9,719GS2060,GS,510,510,100.00
20,10,817GS2044,GS,1,1,100.00
20,11,A2ZINFRA,EQ,388288,264375,68.09
20,12,AAATECH,SM,114000,108000,94.74
20,13,AARON,EQ,2421,1892,78.15
20,14,AARTIDRUGS,EQ,7824602,1445630,18.48
20,15,AARTIIND,EQ,508829,319581,62.81
20,16,AARTISURF,EQ,13913,7775,55.88
20,17,AARVEEDEN,EQ,4103,3333,81.23
20,18,AARVI,EQ,3543,2825,79.73
20,19,AAVAS,EQ,441974,390757,88.41
20,20,ABAN,EQ,98676,94671,95.94
20,21,ABB,EQ,157876,51189,32.42
20,22,ABBOTINDIA,EQ,17230,9871,57.29
20,23,ABCAPITAL,EQ,3895703,1319034,33.86
20,24,ABFRL,EQ,3555931,2010722,56.55
20,25,ABFRLPP1,E1,12944,10175,78.61
20,26,ABMINTLTD,EQ,477,413,86.58
20,27,ABSLBANETF,EQ,363,141,38.84
20,28,ABSLNN50ET,EQ,698,556,79.66
20,29,ABSLRIF6RG,MF,59500,59500,100.00
20,30,ACC,EQ,1091315,401944,36.83
20,31,ACCELYA,EQ,11707,3412,29.14
20,32,ACCURACY,EQ,2494,2121,85.04
20,33,ACE,EQ,417495,196466,47.06
20,34,ACRYSIL,EQ,115476,63058,54.61
20,35,ADANIENT,EQ,4794995,645991,13.47
20,36,ADANIGREEN,EQ,622620,359380,57.72
20,37,ADANIPORTS,EQ,10373422,1900394,18.32
