Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18032021,966686887,0001852
Trade Date <18-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,72000,43996,61.11
20,2,21STCENMGM,EQ,950,950,100.00
20,3,3IINFOTECH,EQ,17044644,7838636,45.99
20,4,3MINDIA,EQ,5536,2597,46.91
20,5,3PLAND,EQ,4494,4228,94.08
20,6,5PAISA,EQ,16083,8951,55.66
20,7,63MOONS,EQ,63499,36564,57.58
20,8,68GS2060,GS,1330,1330,100.00
20,9,716GS2050,GS,1,1,100.00
20,10,719GS2060,GS,198,198,100.00
20,11,A2ZINFRA,EQ,264377,189933,71.84
20,12,AAATECH,SM,72000,72000,100.00
20,13,AARON,EQ,1850,1145,61.89
20,14,AARTIDRUGS,EQ,409208,153895,37.61
20,15,AARTIIND,EQ,119276,46680,39.14
20,16,AARTISURF,EQ,8097,4979,61.49
20,17,AARVEEDEN,EQ,11275,9319,82.65
20,18,AARVI,EQ,5453,5016,91.99
20,19,AAVAS,EQ,46501,27912,60.02
20,20,ABAN,EQ,108395,85256,78.65
20,21,ABB,EQ,45465,13082,28.77
20,22,ABBOTINDIA,EQ,8180,4752,58.09
20,23,ABCAPITAL,EQ,3157114,1118007,35.41
20,24,ABFRL,EQ,3001514,1417149,47.21
20,25,ABFRLPP1,E1,15333,12092,78.86
20,26,ABINFRA,SM,40000,40000,100.00
20,27,ABMINTLTD,EQ,1379,1161,84.19
20,28,ABSLBANETF,EQ,1279,1057,82.64
20,29,ABSLNN50ET,EQ,91,81,89.01
20,30,ABSLRIF6RG,MF,84480,84480,100.00
20,31,ACC,EQ,933344,451849,48.41
20,32,ACCELYA,EQ,1830,1161,63.44
20,33,ACCURACY,EQ,20182,14731,72.99
20,34,ACE,EQ,807619,534733,66.21
20,35,ACRYSIL,EQ,68724,40183,58.47
20,36,ADANIENT,EQ,4465851,572045,12.81
20,37,ADANIGREEN,EQ,269255,121452,45.11
20,38,ADANIPORTS,EQ,10925357,1781340,16.30
20,39,ADANIPOWER,EQ,49924318,15485467,31.02
20,40,ADANITRANS,EQ,901859,356321,39.51
20,41,ADFFOODS,EQ,39414,17729,44.98
20,42,ADHUNIKIND,EQ,17676,10044,56.82
20,43,ADORWELD,EQ,20075,10008,49.85
20,44,ADSL,EQ,1040750,388038,37.28
20,45,ADVANIHOTR,EQ,21326,15234,71.43
20,46,ADVENZYMES,EQ,307874,128365,41.69
20,47,AEGISCHEM,EQ,303525,147356,48.55
20,48,AFFLE,EQ,66470,38207,57.48
20,49,AGCNET,EQ,5455,3242,59.43
20,50,AGRITECH,EQ,8769,5536,63.13
20,51,AGROPHOS,EQ,41280,30165,73.07
20,52,AHLADA,EQ,5286,4459,84.35
20,53,AHLEAST,EQ,766,532,69.45
20,54,AHLUCONT,EQ,32066,18423,57.45
20,55,AHLWEST,EQ,1687,907,53.76
20,56,AIAENG,EQ,113070,89059,78.76
20,57,AIRAN,EQ,309106,283801,91.81
20,58,AIROLAM,SM,3000,3000,100.00
20,59,AISL,SM,25200,2400,9.52
20,60,AJANTPHARM,EQ,55722,27579,49.49
20,61,AJMERA,EQ,65363,22033,33.71
20,62,AJOONI,SM,26664,26664,100.00
20,63,AKASH,EQ,57588,2323,4.03
20,64,AKG,EQ,3302,3302,100.00
20,65,AKSHARCHEM,EQ,26893,20686,76.92
20,66,AKSHOPTFBR,EQ,274008,202544,73.92
20,67,AKZOINDIA,EQ,9548,3948,41.35
20,68,ALANKIT,EQ,89071,66543,74.71
20,69,ALBERTDAVD,EQ,10628,7084,66.65
20,70,ALEMBICLTD,EQ,648622,419189,64.63
20,71,ALICON,EQ,13657,11053,80.93
20,72,ALKALI,EQ,23744,17052,71.82
20,73,ALKEM,EQ,85292,35652,41.80
20,74,ALKYLAMINE,EQ,71711,22967,32.03
20,75,ALLCARGO,EQ,257356,125513,48.77
20,76,ALLSEC,EQ,11194,8335,74.46
20,77,ALMONDZ,EQ,14764,12438,84.25
20,78,ALOKINDS,EQ,7740310,3809998,49.22
20,79,ALPA,EQ,31020,22428,72.30
20,80,ALPHAGEO,EQ,17879,13438,75.16
20,81,AMARAJABAT,EQ,650808,187978,28.88
20,82,AMBER,EQ,67670,35471,52.42
20,83,AMBIKCO,EQ,19506,11043,56.61
20,84,AMBUJACEM,EQ,4353319,1420421,32.63
20,85,AMJLAND,EQ,32458,31218,96.18
20,86,AMRUTANJAN,EQ,275831,65636,23.80
20,87,ANANTRAJ,EQ,627048,382376,60.98
20,88,ANDHRACEMT,EQ,302734,152278,50.30
20,89,ANDHRAPAP,EQ,37233,18220,48.94
20,90,ANDHRSUGAR,EQ,47788,27049,56.60
20,91,ANGELBRKG,EQ,350947,290732,82.84
20,92,ANIKINDS,EQ,39373,20681,52.53
20,93,ANKITMETAL,EQ,110977,78190,70.46
20,94,ANSALAPI,EQ,466826,375631,80.46
20,95,ANSALHSG,EQ,16670,14559,87.34
20,96,ANUP,EQ,13367,8031,60.08
20,97,APARINDS,EQ,80119,46979,58.64
20,98,APCL,EQ,23338,13701,58.71
20,99,APCOTEXIND,EQ,144587,45512,31.48
20,100,APEX,EQ,63188,35053,55.47
20,101,APLAPOLLO,EQ,679388,503459,74.10
20,102,APLLTD,EQ,218621,96914,44.33
20,103,APOLLO,EQ,179659,67473,37.56
20,104,APOLLOHOSP,EQ,789785,228611,28.95
20,105,APOLLOPIPE,EQ,67490,33016,48.92
20,106,APOLLOTYRE,EQ,8433612,1227568,14.56
20,107,APOLSINHOT,EQ,1614,1033,64.00
20,108,APTECHT,EQ,714180,102099,14.30
20,109,ARCHIES,EQ,60814,50448,82.95
20,110,ARENTERP,EQ,247,146,59.11
20,111,ARIES,EQ,56585,33725,59.60
20,112,ARIHANT,EQ,1338,1047,78.25
20,113,ARIHANTSUP,EQ,34038,8874,26.07
20,114,ARMANFIN,EQ,13882,8417,60.63
20,115,AROGRANITE,EQ,248337,81588,32.85
20,116,ARSSINFRA,EQ,12728,10534,82.76
20,117,ARTEMISMED,EQ,1214,766,63.10
20,118,ARVIND,EQ,769899,453548,58.91
20,119,ARVINDFASN,EQ,230442,127873,55.49
20,120,ARVSMART,EQ,300474,60305,20.07
20,121,ASAHIINDIA,EQ,38843,27604,71.07
20,122,ASAHISONG,EQ,84626,50481,59.65
20,123,ASALCBR,EQ,204023,86579,42.44
20,124,ASHAPURMIN,EQ,143771,113176,78.72
20,125,ASHIANA,EQ,285845,149036,52.14
20,126,ASHIMASYN,EQ,174003,158708,91.21
20,127,ASHOKA,EQ,1029134,361148,35.09
20,128,ASHOKLEY,EQ,48024851,10860295,22.61
20,129,ASIANHOTNR,EQ,2761,2009,72.76
20,130,ASIANPAINT,EQ,1851739,531185,28.69
20,131,ASIANTILES,EQ,328028,128327,39.12
20,132,ASLIND,SM,28000,28000,100.00
20,133,ASPINWALL,EQ,1468,847,57.70
20,134,ASTEC,EQ,30119,11954,39.69
20,135,ASTERDM,EQ,182175,109272,59.98
20,136,ASTRAL,EQ,418612,213466,50.99
20,137,ASTRAMICRO,EQ,640582,371196,57.95
20,138,ASTRAZEN,EQ,45730,12491,27.31
20,139,ASTRON,EQ,193659,75452,38.96
20,140,ATALREAL,SM,17600,17600,100.00
20,141,ATFL,EQ,13707,8350,60.92
20,142,ATGL,EQ,1585218,1085701,68.49
20,143,ATLANTA,EQ,23587,19948,84.57
20,144,ATUL,EQ,15373,9491,61.74
20,145,ATULAUTO,EQ,53657,25228,47.02
20,146,AUBANK,EQ,1008328,243959,24.19
20,147,AURIONPRO,EQ,107959,62660,58.04
20,148,AUROPHARMA,EQ,2543138,1046873,41.16
20,149,AUSOMENT,EQ,7786,7142,91.73
20,150,AUTOAXLES,EQ,10985,5930,53.98
20,151,AUTOIND,EQ,151309,125303,82.81
20,152,AVADHSUGAR,EQ,151403,24363,16.09
20,153,AVANTIFEED,EQ,170272,88502,51.98
20,154,AVTNPL,EQ,179883,95643,53.17
20,155,AWHCL,EQ,97995,47419,48.39
20,156,AXISBANK,EQ,12261544,2791211,22.76
20,157,AXISBNKETF,EQ,1665,1018,61.14
20,158,AXISCADES,EQ,25770,19345,75.07
20,159,AXISGOLD,EQ,313854,150553,47.97
20,160,AXISNIFTY,EQ,5831,4661,79.93
20,161,AYMSYNTEX,EQ,6158,4577,74.33
20,162,BAFNAPH,EQ,8799,7995,90.86
20,163,BAGFILMS,EQ,380551,321483,84.48
20,164,BAJAJ-AUTO,EQ,1285600,266690,20.74
20,165,BAJAJCON,EQ,1610957,699752,43.44
20,166,BAJAJELEC,EQ,77681,31101,40.04
20,167,BAJAJFINSV,EQ,401135,71945,17.94
20,168,BAJAJHIND,EQ,8144703,3292452,40.42
20,169,BAJAJHLDNG,EQ,51932,14164,27.27
20,170,BAJFINANCE,EQ,2339058,515092,22.02
20,171,BALAJITELE,EQ,451308,163889,36.31
20,172,BALAMINES,EQ,138913,55558,39.99
20,173,BALAXI,EQ,1103,638,57.84
20,174,BALKRISIND,EQ,634847,184944,29.13
20,175,BALMLAWRIE,EQ,744309,293871,39.48
20,176,BALPHARMA,EQ,53533,37149,69.39
20,177,BALRAMCHIN,EQ,2581943,676932,26.22
20,178,BANARBEADS,EQ,6499,2355,36.24
20,179,BANARISUG,EQ,3209,550,17.14
20,180,BANCOINDIA,EQ,364196,173172,47.55
20,181,BANDHANBNK,EQ,7645856,2015678,26.36
20,182,BANG,EQ,2604,1908,73.27
20,183,BANKA,EQ,5269,3765,71.46
20,184,BANKBARODA,EQ,61825454,14943176,24.17
20,185,BANKBEES,EQ,1607307,625062,38.89
20,186,BANKINDIA,EQ,5656035,1589364,28.10
20,187,BANSWRAS,EQ,11841,8164,68.95
20,188,BASF,EQ,32556,13358,41.03
20,189,BASML,EQ,60724,41264,67.95
20,190,BATAINDIA,EQ,498162,205642,41.28
20,191,BAYERCROP,EQ,9308,4949,53.17
20,192,BBL,EQ,16567,7175,43.31
20,193,BBTC,EQ,173798,41948,24.14
20,194,BBTCL,SM,3000,3000,100.00
20,195,BCG,EQ,2721036,1804804,66.33
20,196,BCLIND,EQ,57911,35309,60.97
20,197,BCONCEPTS,SM,30000,27000,90.00
20,198,BCP,EQ,1142319,785989,68.81
