Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,08032021,958399999,0001851
Trade Date <08-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,111529,57973,51.98
20,2,21STCENMGM,EQ,920,920,100.00
20,3,3IINFOTECH,EQ,22487130,14393156,64.01
20,4,3MINDIA,EQ,5446,3014,55.34
20,5,3PLAND,EQ,25334,16073,63.44
20,6,503KL24,SG,200,100,50.00
20,7,5PAISA,EQ,50440,28031,55.57
20,8,63MOONS,EQ,53700,32083,59.74
20,9,68GS2060,GS,100,100,100.00
20,10,772GS2049,GS,36,36,100.00
20,11,A2ZINFRA,EQ,307102,217443,70.80
20,12,AAATECH,SM,12000,12000,100.00
20,13,AARON,EQ,1888,775,41.05
20,14,AARTIDRUGS,EQ,1623331,345251,21.27
20,15,AARTIIND,EQ,110343,48339,43.81
20,16,AARTISURF,EQ,12182,7196,59.07
20,17,AARVEEDEN,EQ,12526,10646,84.99
20,18,AARVI,EQ,24912,21079,84.61
20,19,AAVAS,EQ,20080,12528,62.39
20,20,ABAN,EQ,488018,314053,64.35
20,21,ABB,EQ,96026,50054,52.13
20,22,ABBOTINDIA,EQ,5777,3273,56.66
20,23,ABCAPITAL,EQ,3894234,1574608,40.43
20,24,ABFRL,EQ,2978385,1096386,36.81
20,25,ABFRLPP1,E1,191756,185493,96.73
20,26,ABMINTLTD,EQ,591,591,100.00
20,27,ABSLBANETF,EQ,343,303,88.34
20,28,ABSLNN50ET,EQ,34,10,29.41
20,29,ACC,EQ,757659,71828,9.48
20,30,ACCELYA,EQ,3154,1827,57.93
20,31,ACCORD,SM,12000,12000,100.00
20,32,ACCURACY,EQ,11402,9375,82.22
20,33,ACE,EQ,966040,508241,52.61
20,34,ACRYSIL,EQ,115436,86781,75.18
20,35,ADANIENT,EQ,3904469,386713,9.90
20,36,ADANIGREEN,EQ,267891,154806,57.79
20,37,ADANIPORTS,EQ,15286852,1985582,12.99
20,38,ADANIPOWER,EQ,8994128,4656168,51.77
20,39,ADANITRANS,EQ,774750,462394,59.68
20,40,ADFFOODS,EQ,53396,22859,42.81
20,41,ADHUNIKIND,EQ,26680,20354,76.29
20,42,ADORWELD,EQ,22960,14104,61.43
20,43,ADROITINFO,EQ,13341,13340,99.99
20,44,ADSL,EQ,91915,65088,70.81
20,45,ADVANIHOTR,EQ,46212,45932,99.39
20,46,ADVENZYMES,EQ,464978,334201,71.87
20,47,AEGISCHEM,EQ,257180,106311,41.34
20,48,AFFLE,EQ,84442,62284,73.76
20,49,AGCNET,EQ,8803,7045,80.03
20,50,AGRITECH,EQ,8877,5487,61.81
20,51,AGROPHOS,EQ,35498,21869,61.61
20,52,AHLADA,EQ,130498,85411,65.45
20,53,AHLEAST,EQ,1491,1212,81.29
20,54,AHLUCONT,EQ,8200,4562,55.63
20,55,AHLWEST,EQ,904,401,44.36
20,56,AIAENG,EQ,100843,73058,72.45
20,57,AIRAN,EQ,32621,21479,65.84
20,58,AISL,SM,1200,1200,100.00
20,59,AJANTPHARM,EQ,90624,51393,56.71
20,60,AJMERA,EQ,185026,42027,22.71
20,61,AJOONI,SM,20000,8000,40.00
20,62,AKASH,EQ,25164,3805,15.12
20,63,AKG,EQ,166176,40323,24.27
20,64,AKSHARCHEM,EQ,9672,6149,63.58
20,65,AKSHOPTFBR,EQ,463141,270225,58.35
20,66,AKZOINDIA,EQ,22775,12966,56.93
20,67,ALANKIT,EQ,116137,63243,54.46
20,68,ALBERTDAVD,EQ,13100,6245,47.67
20,69,ALEMBICLTD,EQ,159629,85485,53.55
20,70,ALICON,EQ,1863,1201,64.47
20,71,ALKALI,EQ,5782,3836,66.34
20,72,ALKEM,EQ,36017,20589,57.16
20,73,ALKYLAMINE,EQ,18160,8549,47.08
20,74,ALLCARGO,EQ,355242,162003,45.60
20,75,ALLSEC,EQ,11192,8459,75.58
20,76,ALMONDZ,EQ,19843,15628,78.76
20,77,ALOKINDS,EQ,21831519,7044357,32.27
20,78,ALPA,EQ,20587,15550,75.53
20,79,ALPHAGEO,EQ,30201,13351,44.21
20,80,AMARAJABAT,EQ,638116,133463,20.92
20,81,AMBER,EQ,163524,51673,31.60
20,82,AMBIKCO,EQ,9448,5968,63.17
20,83,AMBUJACEM,EQ,4470385,858471,19.20
20,84,AMDIND,EQ,67530,40830,60.46
20,85,AMJLAND,EQ,40442,33163,82.00
20,86,AMJUMBO,SM,8000,8000,100.00
20,87,AMRUTANJAN,EQ,66650,22976,34.47
20,88,ANANTRAJ,EQ,3502512,1974421,56.37
20,89,ANDHRACEMT,EQ,211161,123596,58.53
20,90,ANDHRAPAP,EQ,64309,32659,50.78
20,91,ANDHRSUGAR,EQ,81434,30815,37.84
20,92,ANGELBRKG,EQ,46451,25119,54.08
20,93,ANIKINDS,EQ,6755,3539,52.39
20,94,ANKITMETAL,EQ,123230,80464,65.30
20,95,ANSALAPI,EQ,161137,108735,67.48
20,96,ANSALHSG,EQ,53564,38314,71.53
20,97,ANUP,EQ,39193,31808,81.16
20,98,APARINDS,EQ,88280,50616,57.34
20,99,APCL,EQ,77825,41392,53.19
20,100,APCOTEXIND,EQ,154675,60480,39.10
20,101,APEX,EQ,116660,29527,25.31
20,102,APLAPOLLO,EQ,437611,258455,59.06
20,103,APLLTD,EQ,306352,191938,62.65
20,104,APOLLO,EQ,162813,55466,34.07
20,105,APOLLOHOSP,EQ,952087,381127,40.03
20,106,APOLLOPIPE,EQ,30162,15631,51.82
20,107,APOLLOTYRE,EQ,10551070,2537920,24.05
20,108,APOLSINHOT,EQ,1920,1532,79.79
