Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04032021,1378452580,0001845
Trade Date <04-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,90953,38046,41.83
20,2,21STCENMGM,EQ,656,588,89.63
20,3,3IINFOTECH,EQ,10948125,6848271,62.55
20,4,3MINDIA,EQ,5399,2302,42.64
20,5,3PLAND,EQ,7994,4833,60.46
20,6,5PAISA,EQ,22795,9142,40.11
20,7,63MOONS,EQ,180147,104479,58.00
20,8,716GS2050,GS,405,405,100.00
20,9,74GS2035,GS,200,200,100.00
20,10,763GS2059,GS,451,451,100.00
20,11,772GS2049,GS,3,3,100.00
20,12,A2ZINFRA,EQ,418060,267187,63.91
20,13,AAATECH,SM,6000,6000,100.00
20,14,AARON,EQ,7232,4317,59.69
20,15,AARTIDRUGS,EQ,763446,236158,30.93
20,16,AARTIIND,EQ,490759,171518,34.95
20,17,AARTISURF,EQ,61470,34654,56.38
20,18,AARVEEDEN,EQ,12369,11140,90.06
20,19,AARVI,EQ,158497,102209,64.49
20,20,AAVAS,EQ,23286,9492,40.76
20,21,ABAN,EQ,391630,237382,60.61
20,22,ABB,EQ,201501,152427,75.65
20,23,ABBOTINDIA,EQ,11316,6379,56.37
20,24,ABCAPITAL,EQ,3935421,1873350,47.60
20,25,ABFRL,EQ,5372710,1752176,32.61
20,26,ABFRLPP1,E1,114752,94386,82.25
20,27,ABINFRA,SM,32000,28000,87.50
20,28,ABMINTLTD,EQ,11326,7581,66.93
20,29,ABSLBANETF,EQ,426,34,7.98
20,30,ABSLNN50ET,EQ,829,46,5.55
20,31,ABSLRIF6RG,MF,3500,3500,100.00
20,32,ACC,EQ,1152626,313888,27.23
20,33,ACCELYA,EQ,2885,1526,52.89
20,34,ACCURACY,EQ,20801,16789,80.71
20,35,ACE,EQ,151288,71802,47.46
20,36,ACRYSIL,EQ,115569,61918,53.58
20,37,ADANIENT,EQ,8141787,986940,12.12
20,38,ADANIGREEN,EQ,641914,362639,56.49
20,39,ADANIPORTS,EQ,30607959,2462900,8.05
20,40,ADANIPOWER,EQ,29096275,12685044,43.60
20,41,ADANITRANS,EQ,893475,493297,55.21
20,42,ADFFOODS,EQ,33923,9929,29.27
20,43,ADHUNIKIND,EQ,16912,10188,60.24
20,44,ADORWELD,EQ,83684,51565,61.62
20,45,ADROITINFO,EQ,3636,3636,100.00
20,46,ADSL,EQ,73638,57591,78.21
20,47,ADVANIHOTR,EQ,110796,78606,70.95
20,48,ADVENZYMES,EQ,120581,58798,48.76
20,49,AEGISCHEM,EQ,561255,208891,37.22
20,50,AFFLE,EQ,137382,73937,53.82
20,51,AGCNET,EQ,3033,2699,88.99
20,52,AGRITECH,EQ,7055,4193,59.43
20,53,AGROPHOS,EQ,24424,19887,81.42
20,54,AHLADA,EQ,5755,5755,100.00
20,55,AHLEAST,EQ,10308,8587,83.30
20,56,AHLUCONT,EQ,188202,179402,95.32
20,57,AHLWEST,EQ,5516,3001,54.41
20,58,AIAENG,EQ,317142,133932,42.23
20,59,AIRAN,EQ,75368,61470,81.56
20,60,AISL,SM,4800,4800,100.00
20,61,AJANTPHARM,EQ,79062,36517,46.19
20,62,AJMERA,EQ,89825,32848,36.57
20,63,AJOONI,SM,4000,4000,100.00
20,64,AKASH,EQ,27434,948,3.46
20,65,AKG,EQ,157065,51796,32.98
20,66,AKSHARCHEM,EQ,32381,13811,42.65
20,67,AKSHOPTFBR,EQ,266729,181175,67.92
20,68,AKZOINDIA,EQ,26503,14571,54.98
20,69,ALANKIT,EQ,476835,294755,61.81
20,70,ALBERTDAVD,EQ,8947,6039,67.50
20,71,ALEMBICLTD,EQ,449454,167728,37.32
20,72,ALICON,EQ,9074,4884,53.82
20,73,ALKALI,EQ,15129,11086,73.28
20,74,ALKEM,EQ,115653,55288,47.81
20,75,ALKYLAMINE,EQ,21997,7785,35.39
20,76,ALLCARGO,EQ,1533999,563739,36.75
20,77,ALLSEC,EQ,9050,5734,63.36
20,78,ALMONDZ,EQ,22982,14305,62.24
20,79,ALOKINDS,EQ,20160340,6847730,33.97
20,80,ALPA,EQ,36818,23761,64.54
20,81,ALPHAGEO,EQ,21061,16361,77.68
20,82,AMARAJABAT,EQ,1391787,477492,34.31
20,83,AMBER,EQ,248747,87841,35.31
20,84,AMBIKCO,EQ,15880,9779,61.58
20,85,AMBUJACEM,EQ,10478749,3650458,34.84
20,86,AMDIND,EQ,112495,54974,48.87
20,87,AMJLAND,EQ,33562,21063,62.76
20,88,AMJUMBO,SM,40000,16000,40.00
20,89,AMRUTANJAN,EQ,41172,16015,38.90
20,90,ANANTRAJ,EQ,1080454,677808,62.73
20,91,ANDHRACEMT,EQ,361955,223091,61.64
20,92,ANDHRAPAP,EQ,107527,77519,72.09
20,93,ANDHRSUGAR,EQ,271428,97882,36.06
20,94,ANGELBRKG,EQ,303488,103224,34.01
20,95,ANIKINDS,EQ,11748,8147,69.35
20,96,ANKITMETAL,EQ,7108,7108,100.00
20,97,ANSALAPI,EQ,197267,158988,80.60
20,98,ANSALHSG,EQ,78067,44610,57.14
20,99,ANUP,EQ,40297,29505,73.22
20,100,APARINDS,EQ,79629,59496,74.72
20,101,APCL,EQ,465673,182737,39.24
20,102,APCOTEXIND,EQ,211759,74223,35.05
20,103,APEX,EQ,244639,200038,81.77
20,104,APLAPOLLO,EQ,803885,600712,74.73
20,105,APLLTD,EQ,468509,287030,61.26
20,106,APOLLO,EQ,147118,64769,44.03
20,107,APOLLOHOSP,EQ,687383,260737,37.93
20,108,APOLLOPIPE,EQ,31691,18502,58.38
20,109,APOLLOTYRE,EQ,12623097,2642598,20.93
20,110,APOLSINHOT,EQ,1201,1112,92.59
20,111,APTECHT,EQ,552904,182745,33.05
20,112,ARCHIES,EQ,36061,27703,76.82
20,113,ARENTERP,EQ,4085,3963,97.01
