Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,16032021,935453362,0001837
Trade Date <16-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,76451,53789,70.36
20,2,21STCENMGM,EQ,101,101,100.00
20,3,3IINFOTECH,EQ,25390015,10786726,42.48
20,4,3MINDIA,EQ,9375,5080,54.19
20,5,3PLAND,EQ,3409,2079,60.99
20,6,5PAISA,EQ,35611,20393,57.27
20,7,622GS2035,GS,1018,1018,100.00
20,8,63MOONS,EQ,59732,34020,56.95
20,9,68GS2060,GS,18871,18636,98.75
20,10,772GS2049,GS,180,180,100.00
20,11,A2ZINFRA,EQ,285654,235567,82.47
20,12,AAATECH,SM,6000,3000,50.00
20,13,AARON,EQ,1565,1116,71.31
20,14,AARTIDRUGS,EQ,953414,223057,23.40
20,15,AARTIIND,EQ,162087,69513,42.89
20,16,AARTISURF,EQ,8138,5139,63.15
20,17,AARVEEDEN,EQ,5472,4159,76.01
20,18,AARVI,EQ,6997,6130,87.61
20,19,AAVAS,EQ,60706,36939,60.85
20,20,ABAN,EQ,117574,83308,70.86
20,21,ABB,EQ,87214,27319,31.32
20,22,ABBOTINDIA,EQ,11455,5391,47.06
20,23,ABCAPITAL,EQ,4777558,869013,18.19
20,24,ABFRL,EQ,1783266,1123975,63.03
20,25,ABFRLPP1,E1,47075,37978,80.68
20,26,ABMINTLTD,EQ,1022,907,88.75
20,27,ABSLBANETF,EQ,361,154,42.66
20,28,ABSLNN50ET,EQ,153,73,47.71
20,29,ABSLRIF6RG,MF,41014,41000,99.97
20,30,ACC,EQ,530988,89369,16.83
20,31,ACCELYA,EQ,3463,2084,60.18
20,32,ACCURACY,EQ,49511,42726,86.30
20,33,ACE,EQ,291294,168624,57.89
20,34,ACRYSIL,EQ,53995,30701,56.86
20,35,ADANIENT,EQ,2555026,322814,12.63
20,36,ADANIGREEN,EQ,648757,345423,53.24
20,37,ADANIPORTS,EQ,14979009,2382011,15.90
20,38,ADANIPOWER,EQ,33636791,11617023,34.54
20,39,ADANITRANS,EQ,469636,193706,41.25
20,40,ADFFOODS,EQ,35372,9837,27.81
20,41,ADHUNIKIND,EQ,12291,7313,59.50
20,42,ADORWELD,EQ,25122,15684,62.43
20,43,ADSL,EQ,644109,336354,52.22
20,44,ADVANIHOTR,EQ,25432,18694,73.51
20,45,ADVENZYMES,EQ,256574,118401,46.15
20,46,AEGISCHEM,EQ,304902,169839,55.70
20,47,AFFLE,EQ,55300,39566,71.55
20,48,AGCNET,EQ,3898,3153,80.89
20,49,AGRITECH,EQ,10319,7767,75.27
20,50,AGROPHOS,EQ,15409,12656,82.13
20,51,AHLADA,EQ,5946,5493,92.38
20,52,AHLEAST,EQ,1145,621,54.24
20,53,AHLUCONT,EQ,23561,10541,44.74
20,54,AHLWEST,EQ,3597,2325,64.64
20,55,AIAENG,EQ,26869,18006,67.01
20,56,AIRAN,EQ,161837,157818,97.52
20,57,AIROLAM,SM,3000,3000,100.00
20,58,AISL,SM,26400,1200,4.55
20,59,AJANTPHARM,EQ,52304,20171,38.56
20,60,AJMERA,EQ,44616,17648,39.56
20,61,AJOONI,SM,53328,44440,83.33
20,62,AKASH,EQ,108729,46779,43.02
20,63,AKG,EQ,603544,186883,30.96
20,64,AKSHARCHEM,EQ,55641,40857,73.43
