Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,09032021,1237965978,0001846
Trade Date <09-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,82882,56001,67.57
20,2,21STCENMGM,EQ,87,87,100.00
20,3,3IINFOTECH,EQ,26601636,14014474,52.68
20,4,3MINDIA,EQ,4945,2603,52.64
20,5,3PLAND,EQ,6100,4795,78.61
20,6,5PAISA,EQ,22555,11436,50.70
20,7,63MOONS,EQ,42378,32926,77.70
20,8,772GS2049,GS,401,401,100.00
20,9,A2ZINFRA,EQ,203769,153249,75.21
20,10,AAATECH,SM,24000,24000,100.00
20,11,AARON,EQ,7751,6255,80.70
20,12,AARTIDRUGS,EQ,363015,128763,35.47
20,13,AARTIIND,EQ,212885,122061,57.34
20,14,AARTISURF,EQ,26368,19586,74.28
20,15,AARVEEDEN,EQ,17577,15899,90.45
20,16,AARVI,EQ,4851,4138,85.30
20,17,AAVAS,EQ,109272,67606,61.87
20,18,ABAN,EQ,227793,159284,69.92
20,19,ABB,EQ,54450,15746,28.92
20,20,ABBOTINDIA,EQ,6839,4097,59.91
20,21,ABCAPITAL,EQ,9577378,3050322,31.85
20,22,ABFRL,EQ,3741197,1700158,45.44
20,23,ABFRLPP1,E1,119914,102732,85.67
20,24,ABINFRA,SM,40000,40000,100.00
20,25,ABMINTLTD,EQ,1690,1690,100.00
20,26,ABSLBANETF,EQ,58,32,55.17
20,27,ABSLNN50ET,EQ,649,128,19.72
20,28,ABSLRIF6RG,MF,85500,85500,100.00
20,29,ACC,EQ,825196,152080,18.43
20,30,ACCELYA,EQ,4309,3071,71.27
20,31,ACCURACY,EQ,2199,1395,63.44
20,32,ACE,EQ,564340,292226,51.78
20,33,ACRYSIL,EQ,180494,90248,50.00
20,34,ADANIENT,EQ,5561849,881620,15.85
20,35,ADANIGREEN,EQ,332177,184519,55.55
20,36,ADANIPORTS,EQ,8548163,1101595,12.89
20,37,ADANIPOWER,EQ,55769672,16982233,30.45
20,38,ADANITRANS,EQ,1296110,830838,64.10
20,39,ADFFOODS,EQ,26802,13763,51.35
20,40,ADHUNIKIND,EQ,17062,13067,76.59
20,41,ADORWELD,EQ,10625,6066,57.09
20,42,ADROITINFO,EQ,3519,3519,100.00
20,43,ADSL,EQ,79749,60176,75.46
20,44,ADVANIHOTR,EQ,269748,141453,52.44
20,45,ADVENZYMES,EQ,410164,268695,65.51
20,46,AEGISCHEM,EQ,676026,330253,48.85
20,47,AFFLE,EQ,47294,26602,56.25
20,48,AGCNET,EQ,2166,1616,74.61
20,49,AGRITECH,EQ,5746,5128,89.24
20,50,AGROPHOS,EQ,38294,29438,76.87
20,51,AHLADA,EQ,36660,22029,60.09
20,52,AHLEAST,EQ,9362,6436,68.75
20,53,AHLUCONT,EQ,31178,28696,92.04
20,54,AHLWEST,EQ,1124,408,36.30
20,55,AIAENG,EQ,194412,163492,84.10
20,56,AIRAN,EQ,61624,34093,55.32
20,57,AIROLAM,SM,3000,3000,100.00
20,58,AISL,SM,12000,10800,90.00
20,59,AJANTPHARM,EQ,91800,46180,50.31
20,60,AJMERA,EQ,92704,46835,50.52
20,61,AKASH,EQ,31583,29693,94.02
20,62,AKG,EQ,229711,121500,52.89
20,63,AKSHARCHEM,EQ,29811,18728,62.82
20,64,AKSHOPTFBR,EQ,204238,155341,76.06
20,65,AKZOINDIA,EQ,18920,11689,61.78
20,66,ALANKIT,EQ,57232,44232,77.29
20,67,ALBERTDAVD,EQ,6439,3721,57.79
20,68,ALEMBICLTD,EQ,288544,94759,32.84
20,69,ALICON,EQ,4475,2516,56.22
20,70,ALKALI,EQ,21908,18545,84.65
20,71,ALKEM,EQ,93079,27111,29.13
20,72,ALKYLAMINE,EQ,14132,6045,42.78
20,73,ALLCARGO,EQ,184090,99513,54.06
20,74,ALLSEC,EQ,8790,6338,72.10
20,75,ALMONDZ,EQ,8481,6616,78.01
20,76,ALOKINDS,EQ,13346799,4216408,31.59
20,77,ALPA,EQ,101956,78090,76.59
20,78,ALPHAGEO,EQ,26186,15815,60.39
20,79,AMARAJABAT,EQ,600574,179845,29.95
20,80,AMBER,EQ,87668,54768,62.47
20,81,AMBIKCO,EQ,8241,5422,65.79
20,82,AMBUJACEM,EQ,6082622,1839181,30.24
20,83,AMDIND,EQ,150656,69923,46.41
20,84,AMJLAND,EQ,12134,6463,53.26
20,85,AMJUMBO,SM,16000,8000,50.00
20,86,AMRUTANJAN,EQ,42737,17076,39.96
20,87,ANANTRAJ,EQ,1616332,910118,56.31
20,88,ANDHRACEMT,EQ,183051,133543,72.95
20,89,ANDHRAPAP,EQ,27719,17017,61.39
20,90,ANDHRSUGAR,EQ,47092,21945,46.60
20,91,ANGELBRKG,EQ,166877,123333,73.91
20,92,ANIKINDS,EQ,9464,6627,70.02
20,93,ANKITMETAL,EQ,216887,141932,65.44
20,94,ANSALAPI,EQ,80555,53249,66.10
20,95,ANSALHSG,EQ,30978,24017,77.53
20,96,ANUP,EQ,28866,22490,77.91
20,97,APARINDS,EQ,134479,71006,52.80
20,98,APCL,EQ,88738,50392,56.79
20,99,APCOTEXIND,EQ,84999,28167,33.14
20,100,APEX,EQ,42738,20555,48.10
20,101,APLAPOLLO,EQ,419967,297334,70.80
20,102,APLLTD,EQ,472633,251722,53.26
20,103,APOLLO,EQ,93046,44734,48.08
20,104,APOLLOHOSP,EQ,883183,297631,33.70
20,105,APOLLOPIPE,EQ,33543,19115,56.99
20,106,APOLLOTYRE,EQ,8384559,927214,11.06
20,107,APOLSINHOT,EQ,1363,758,55.61
20,108,APTECHT,EQ,427242,66302,15.52
20,109,ARCHIES,EQ,67552,53694,79.49
20,110,ARENTERP,EQ,7143,5992,83.89
20,111,ARIES,EQ,136082,58418,42.93
20,112,ARIHANT,EQ,568,459,80.81
20,113,ARIHANTSUP,EQ,60122,20580,34.23
20,114,ARMANFIN,EQ,7671,4651,60.63
20,115,AROGRANITE,EQ,35182,20362,57.88
20,116,ARSSINFRA,EQ,12301,7659,62.26
20,117,ARTEMISMED,EQ,5745,3690,64.23
20,118,ARVIND,EQ,877731,531434,60.55
20,119,ARVINDFASN,EQ,237091,111442,47.00
20,120,ARVSMART,EQ,64832,37909,58.47
20,121,ASAHIINDIA,EQ,46258,19292,41.71
20,122,ASAHISONG,EQ,13042,8734,66.97
20,123,ASALCBR,EQ,31320,18732,59.81
20,124,ASHAPURMIN,EQ,188454,123066,65.30
20,125,ASHIANA,EQ,51519,32902,63.86
20,126,ASHIMASYN,EQ,2496726,2407437,96.42
20,127,ASHOKA,EQ,570899,235691,41.28
20,128,ASHOKLEY,EQ,24641514,8884840,36.06
20,129,ASIANHOTNR,EQ,46181,16553,35.84
20,130,ASIANPAINT,EQ,1800442,580028,32.22
20,131,ASIANTILES,EQ,511566,314273,61.43
20,132,ASPINWALL,EQ,26249,16055,61.16
20,133,ASTEC,EQ,16276,8888,54.61
20,134,ASTERDM,EQ,118487,54011,45.58
20,135,ASTRAL,EQ,184233,106569,57.84
20,136,ASTRAMICRO,EQ,656493,374573,57.06
20,137,ASTRAZEN,EQ,24343,10771,44.25
20,138,ASTRON,EQ,44692,34242,76.62
20,139,ATFL,EQ,1790,986,55.08
20,140,ATGL,EQ,1667389,672568,40.34
20,141,ATLANTA,EQ,72654,71263,98.09
20,142,ATUL,EQ,17412,10952,62.90
20,143,ATULAUTO,EQ,74246,38528,51.89
20,144,AUBANK,EQ,2398975,1075894,44.85
20,145,AURIONPRO,EQ,652082,169491,25.99
20,146,AUROPHARMA,EQ,1088820,420918,38.66
20,147,AUSOMENT,EQ,10683,6562,61.42
20,148,AUTOAXLES,EQ,4601,2765,60.10
20,149,AUTOIND,EQ,30511,25720,84.30
20,150,AVADHSUGAR,EQ,147585,50211,34.02
20,151,AVANTIFEED,EQ,147134,89003,60.49
20,152,AVTNPL,EQ,574905,265322,46.15
20,153,AWHCL,EQ,101920,51259,50.29
20,154,AXISBANK,EQ,18951683,7722367,40.75
20,155,AXISBNKETF,EQ,1067,997,93.44
20,156,AXISCADES,EQ,28229,20545,72.78
20,157,AXISGOLD,EQ,292634,206654,70.62
20,158,AXISNIFTY,EQ,6129,3018,49.24
