Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,25032021,1249550072,0001830
Trade Date <25-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,187328,39339,21.00
20,2,21STCENMGM,EQ,20338,16714,82.18
20,3,3IINFOTECH,EQ,13440993,7524305,55.98
20,4,3MINDIA,EQ,7040,4508,64.03
20,5,3PLAND,EQ,1890,1647,87.14
20,6,5PAISA,EQ,25080,13849,55.22
20,7,63MOONS,EQ,102730,73674,71.72
20,8,716GS2050,GS,11,11,100.00
20,9,719GS2060,GS,2,2,100.00
20,10,A2ZINFRA,EQ,433040,333885,77.10
20,11,AAATECH,SM,9000,9000,100.00
20,12,AARON,EQ,884,479,54.19
20,13,AARTIDRUGS,EQ,828480,218734,26.40
20,14,AARTIIND,EQ,1124256,138571,12.33
20,15,AARTISURF,EQ,8973,5165,57.56
20,16,AARVEEDEN,EQ,9897,4482,45.29
20,17,AARVI,EQ,5874,5657,96.31
20,18,AAVAS,EQ,235439,198441,84.29
20,19,ABAN,EQ,132245,81659,61.75
20,20,ABB,EQ,88150,35956,40.79
20,21,ABBOTINDIA,EQ,23134,12325,53.28
20,22,ABCAPITAL,EQ,4392651,1303385,29.67
20,23,ABFRL,EQ,1957147,604951,30.91
20,24,ABFRLPP1,E1,12395,10588,85.42
20,25,ABMINTLTD,EQ,164,134,81.71
20,26,ABSLBANETF,EQ,6521,3017,46.27
20,27,ABSLNN50ET,EQ,264,251,95.08
20,28,ABSLRIF6RG,MF,21,21,100.00
20,29,ACC,EQ,981995,290311,29.56
20,30,ACCELYA,EQ,5562,2607,46.87
20,31,ACCURACY,EQ,3670,3119,84.99
20,32,ACE,EQ,524150,332657,63.47
20,33,ACRYSIL,EQ,140855,95924,68.10
20,34,ADANIENT,EQ,13139164,1278976,9.73
20,35,ADANIGREEN,EQ,436451,275100,63.03
20,36,ADANIPORTS,EQ,16860086,2498300,14.82
20,37,ADANIPOWER,EQ,48575495,20633459,42.48
20,38,ADANITRANS,EQ,1218113,647915,53.19
20,39,ADFFOODS,EQ,43678,19697,45.10
20,40,ADHUNIKIND,EQ,11023,9277,84.16
20,41,ADORWELD,EQ,22845,17018,74.49
20,42,ADSL,EQ,190591,103820,54.47
20,43,ADVANIHOTR,EQ,24067,15498,64.40
20,44,ADVENZYMES,EQ,213435,112942,52.92
20,45,AEGISCHEM,EQ,261064,147631,56.55
20,46,AFFLE,EQ,101034,52258,51.72
20,47,AGCNET,EQ,12318,9204,74.72
20,48,AGRITECH,EQ,4023,2737,68.03
20,49,AGROPHOS,EQ,67888,49786,73.34
20,50,AHLADA,EQ,15762,14623,92.77
20,51,AHLEAST,EQ,1922,1558,81.06
20,52,AHLUCONT,EQ,70384,46039,65.41
20,53,AHLWEST,EQ,4221,1949,46.17
20,54,AIAENG,EQ,127163,98473,77.44
20,55,AIRAN,EQ,95337,74066,77.69
20,56,AISL,SM,21600,2400,11.11
20,57,AJANTPHARM,EQ,115021,79593,69.20
20,58,AJMERA,EQ,95413,45998,48.21
20,59,AJOONI,SM,13332,13332,100.00
20,60,AKASH,EQ,87454,81878,93.62
20,61,AKG,EQ,292,292,100.00
20,62,AKSHARCHEM,EQ,10189,7435,72.97
20,63,AKSHOPTFBR,EQ,478131,319842,66.89
20,64,AKZOINDIA,EQ,25055,21084,84.15
20,65,ALANKIT,EQ,61626,46284,75.10
20,66,ALBERTDAVD,EQ,8923,6608,74.06
20,67,ALEMBICLTD,EQ,1823970,453782,24.88
20,68,ALICON,EQ,12225,6191,50.64
20,69,ALKALI,EQ,9926,6880,69.31
20,70,ALKEM,EQ,476707,68636,14.40
20,71,ALKYLAMINE,EQ,79432,27810,35.01
20,72,ALLCARGO,EQ,196514,143846,73.20
20,73,ALLSEC,EQ,8107,3848,47.47
20,74,ALMONDZ,EQ,9263,6644,71.73
20,75,ALOKINDS,EQ,7966828,4761416,59.77
20,76,ALPA,EQ,28659,18446,64.36
20,77,ALPHAGEO,EQ,13403,9521,71.04
20,78,AMARAJABAT,EQ,680694,144354,21.21
20,79,AMBER,EQ,156430,95263,60.90
