Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22032021,770196591,0001836
Trade Date <22-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,121,ARVINDFASN,EQ,127775,58060,45.44
20,122,ARVSMART,EQ,55988,24724,44.16
20,123,ASAHIINDIA,EQ,17464,8969,51.36
20,124,ASAHISONG,EQ,11903,6403,53.79
20,125,ASALCBR,EQ,110126,68309,62.03
20,126,ASHAPURMIN,EQ,381276,299895,78.66
20,127,ASHIANA,EQ,125882,52196,41.46
20,128,ASHIMASYN,EQ,66799,46409,69.48
20,129,ASHOKA,EQ,771374,257007,33.32
20,130,ASHOKLEY,EQ,16392169,3868499,23.60
20,131,ASIANHOTNR,EQ,7707,5384,69.86
20,132,ASIANPAINT,EQ,1489853,591788,39.72
20,133,ASIANTILES,EQ,533843,243391,45.59
20,134,ASLIND,SM,304000,300000,98.68
20,135,ASPINWALL,EQ,2212,1274,57.59
20,136,ASTEC,EQ,15989,7375,46.13
20,137,ASTERDM,EQ,178862,74606,41.71
20,138,ASTRAL,EQ,175632,74670,42.52
20,139,ASTRAMICRO,EQ,537677,225804,42.00
20,140,ASTRAZEN,EQ,118907,18798,15.81
20,141,ASTRON,EQ,113231,82279,72.66
20,142,ATFL,EQ,4984,3427,68.76
20,143,ATGL,EQ,4323983,1227174,28.38
20,144,ATLANTA,EQ,22290,17994,80.73
20,145,ATUL,EQ,66938,38568,57.62
20,146,ATULAUTO,EQ,60214,25158,41.78
20,147,AUBANK,EQ,758035,298796,39.42
20,148,AURIONPRO,EQ,105847,66178,62.52
20,149,AUROPHARMA,EQ,3077093,963773,31.32
20,150,AUSOMENT,EQ,5029,3540,70.39
20,151,AUTOAXLES,EQ,11721,6600,56.31
20,152,AUTOIND,EQ,52293,31915,61.03
20,153,AVADHSUGAR,EQ,73322,18787,25.62
20,154,AVANTIFEED,EQ,369985,162973,44.05
20,155,AVTNPL,EQ,78300,42792,54.65
20,156,AWHCL,EQ,71030,28237,39.75
20,157,AXISBANK,EQ,14802230,5231297,35.34
20,158,AXISBNKETF,EQ,1487,1470,98.86
20,159,AXISCADES,EQ,87877,52980,60.29
20,160,AXISGOLD,EQ,234516,153780,65.57
20,161,AXISNIFTY,EQ,3136,2714,86.54
20,162,AYMSYNTEX,EQ,19012,17666,92.92
20,163,BAFNAPH,EQ,6610,6610,100.00
20,164,BAGFILMS,EQ,276749,190651,68.89
20,165,BAJAJ-AUTO,EQ,502724,190957,37.98
20,166,BAJAJCON,EQ,345872,127255,36.79
20,167,BAJAJELEC,EQ,87412,42546,48.67
20,168,BAJAJFINSV,EQ,293029,55008,18.77
20,169,BAJAJHIND,EQ,4027206,1626605,40.39
20,170,BAJAJHLDNG,EQ,20010,7982,39.89
20,171,BAJFINANCE,EQ,1938461,317881,16.40
20,172,BALAJITELE,EQ,388426,202030,52.01
20,173,BALAMINES,EQ,70348,17948,25.51
20,174,BALAXI,EQ,2693,1671,62.05
20,175,BALKRISIND,EQ,379095,156656,41.32
20,176,BALMLAWRIE,EQ,916718,206406,22.52
20,177,BALPHARMA,EQ,96875,31548,32.57
20,178,BALRAMCHIN,EQ,1580377,355811,22.51
20,179,BANARBEADS,EQ,4369,3606,82.54
20,180,BANARISUG,EQ,869,280,32.22
20,181,BANCOINDIA,EQ,121397,55398,45.63
20,182,BANDHANBNK,EQ,9247050,2634238,28.49
20,183,BANG,EQ,1702,1067,62.69
20,184,BANKA,EQ,6515,4851,74.46
20,185,BANKBARODA,EQ,43215479,9689849,22.42
20,186,BANKBEES,EQ,929759,300240,32.29
20,187,BANKINDIA,EQ,4182860,1055171,25.23
20,188,BANSWRAS,EQ,6250,4506,72.10
20,189,BASF,EQ,31548,10732,34.02
20,190,BASML,EQ,15568,6438,41.35
20,191,BATAINDIA,EQ,264088,89212,33.78
20,192,BAYERCROP,EQ,7366,4732,64.24
20,193,BBL,EQ,15084,6406,42.47
20,194,BBTC,EQ,50376,19358,38.43
20,195,BBTCL,SM,3000,3000,100.00
20,196,BCG,EQ,2751926,1450908,52.72
20,197,BCLIND,EQ,122895,40687,33.11
20,198,BCONCEPTS,SM,9000,9000,100.00
20,199,BCP,EQ,3685490,2647880,71.85
20,200,BDL,EQ,1695839,185384,10.93
20,201,BEARDSELL,EQ,59981,55725,92.90
20,202,BECTORFOOD,EQ,480365,183750,38.25
20,203,BEDMUTHA,EQ,2879,2316,80.44
20,204,BEL,EQ,12981794,3763004,28.99
20,205,BEML,EQ,1563755,241505,15.44
20,206,BEPL,EQ,568854,260555,45.80
20,207,BERGEPAINT,EQ,767576,277269,36.12
20,208,BESTAGRO,EQ,70172,33840,48.22
20,209,BETA,SM,5600,4000,71.43
20,210,BFINVEST,EQ,7064,2221,31.44
20,211,BFUTILITIE,EQ,118581,38235,32.24
20,212,BGRENERGY,EQ,141237,77006,54.52
20,213,BHAGERIA,EQ,34750,18068,51.99
20,214,BHAGYAPROP,EQ,7373,6654,90.25
20,215,BHARATFORG,EQ,1512975,540276,35.71
20,216,BHARATGEAR,EQ,11773,4925,41.83
20,217,BHARATRAS,EQ,958,529,55.22
20,218,BHARTIARTL,EQ,13331409,5372570,40.30
20,219,BHEL,EQ,48322688,6392192,13.23
20,220,BIGBLOC,EQ,105481,51356,48.69
20,221,BIL,EQ,39957,18923,47.36
20,222,BINDALAGRO,EQ,67246,29291,43.56
20,223,BIOCON,EQ,3713607,1807750,48.68
20,224,BIRET,RR,438600,365200,83.26
20,225,BIRLACABLE,EQ,207095,50228,24.25
20,226,BIRLACORPN,EQ,187752,91623,48.80
20,227,BIRLAMONEY,EQ,83855,41392,49.36
20,228,BIRLATYRE,EQ,231027,140081,60.63
20,229,BKMINDST,EQ,29405,29405,100.00
