Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,10032021,884895290,0001857
Trade Date <10-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,540420,269558,49.88
20,2,21STCENMGM,EQ,3186,3186,100.00
20,3,3IINFOTECH,EQ,20361191,12504846,61.42
20,4,3MINDIA,EQ,2818,1324,46.98
20,5,3PLAND,EQ,23706,14202,59.91
20,6,585GS2030,GS,200,200,100.00
20,7,5PAISA,EQ,69657,32536,46.71
20,8,619GS2034,GS,100,100,100.00
20,9,63MOONS,EQ,28808,17599,61.09
20,10,716GS2050,GS,90,90,100.00
20,11,763GS2059,GS,100,100,100.00
20,12,772GS2049,GS,1940,1940,100.00
20,13,A2ZINFRA,EQ,356660,247098,69.28
20,14,AAATECH,SM,3000,3000,100.00
20,15,AARON,EQ,5360,4187,78.12
20,16,AARTIDRUGS,EQ,222757,81030,36.38
20,17,AARTIIND,EQ,168918,115025,68.10
20,18,AARTISURF,EQ,9068,6237,68.78
20,19,AARVEEDEN,EQ,13204,11331,85.81
20,20,AARVI,EQ,7599,6464,85.06
20,21,AAVAS,EQ,31338,18437,58.83
20,22,ABAN,EQ,276957,181780,65.63
20,23,ABB,EQ,131725,45914,34.86
20,24,ABBOTINDIA,EQ,13903,11034,79.36
20,25,ABCAPITAL,EQ,2776312,910851,32.81
20,26,ABFRL,EQ,1863064,949767,50.98
20,27,ABFRLPP1,E1,113348,61663,54.40
20,28,ABMINTLTD,EQ,8978,5734,63.87
20,29,ABSLBANETF,EQ,18,15,83.33
20,30,ABSLNN50ET,EQ,396,22,5.56
20,31,ABSLRIF6RG,MF,20007,20000,99.97
20,32,ACC,EQ,645527,127874,19.81
20,33,ACCELYA,EQ,6674,2204,33.02
20,34,ACCURACY,EQ,10723,8786,81.94
20,35,ACE,EQ,192274,118875,61.83
20,36,ACEINTEG,SM,6000,6000,100.00
20,37,ACRYSIL,EQ,80735,52373,64.87
20,38,ADANIENT,EQ,5465016,704295,12.89
20,39,ADANIGREEN,EQ,483563,295799,61.17
20,40,ADANIPORTS,EQ,5235249,889954,17.00
20,41,ADANIPOWER,EQ,32046833,15962460,49.81
20,42,ADANITRANS,EQ,662901,370877,55.95
20,43,ADFFOODS,EQ,14112,6124,43.40
20,44,ADHUNIKIND,EQ,10813,6971,64.47
