Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15032021,1001733825,0001842
Trade Date <15-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,62264,37086,59.56
20,2,21STCENMGM,EQ,202,202,100.00
20,3,3IINFOTECH,EQ,34309921,15089439,43.98
20,4,3MINDIA,EQ,10404,5109,49.11
20,5,3PLAND,EQ,9771,5717,58.51
20,6,5PAISA,EQ,22773,11084,48.67
20,7,63MOONS,EQ,43993,29795,67.73
20,8,68GS2060,GS,1364,1364,100.00
20,9,772GS2049,GS,132,132,100.00
20,10,A2ZINFRA,EQ,240400,195657,81.39
20,11,AARON,EQ,1551,1126,72.60
20,12,AARTIDRUGS,EQ,475436,173136,36.42
20,13,AARTIIND,EQ,144480,65215,45.14
20,14,AARTISURF,EQ,11125,6062,54.49
20,15,AARVEEDEN,EQ,13201,12403,93.96
20,16,AARVI,EQ,17687,14353,81.15
20,17,AAVAS,EQ,25849,15205,58.82
20,18,ABAN,EQ,187872,106691,56.79
20,19,ABB,EQ,49333,20058,40.66
20,20,ABBOTINDIA,EQ,10603,7046,66.45
20,21,ABCAPITAL,EQ,2963954,1150748,38.82
20,22,ABFRL,EQ,1675970,873431,52.11
20,23,ABFRLPP1,E1,10213,8274,81.01
20,24,ABINFRA,SM,4000,4000,100.00
20,25,ABMINTLTD,EQ,976,854,87.50
20,26,ABSLBANETF,EQ,1267,1003,79.16
20,27,ABSLFTSARG,MF,100,100,100.00
20,28,ABSLNN50ET,EQ,33,29,87.88
20,29,ABSLRIF6RG,MF,62600,62600,100.00
20,30,ACC,EQ,715929,233195,32.57
20,31,ACCELYA,EQ,2513,1751,69.68
20,32,ACCURACY,EQ,5841,2820,48.28
20,33,ACE,EQ,914872,623242,68.12
20,34,ACRYSIL,EQ,137714,85693,62.23
20,35,ADANIENT,EQ,5235064,432990,8.27
20,36,ADANIGREEN,EQ,453478,252382,55.65
20,37,ADANIPORTS,EQ,13403595,4924583,36.74
20,38,ADANIPOWER,EQ,24477736,8709583,35.58
20,39,ADANITRANS,EQ,722573,250243,34.63
20,40,ADFFOODS,EQ,55615,23321,41.93
20,41,ADHUNIKIND,EQ,19651,8658,44.06
20,42,ADORWELD,EQ,34178,24655,72.14
20,43,ADSL,EQ,163684,106585,65.12
