Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05032021,1324186644,0001848
Trade Date <05-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,157771,77408,49.06
20,2,21STCENMGM,EQ,1927,1853,96.16
20,3,3IINFOTECH,EQ,6875608,4535022,65.96
20,4,3MINDIA,EQ,6030,2619,43.43
20,5,3PLAND,EQ,8886,5724,64.42
20,6,5PAISA,EQ,65156,28431,43.64
20,7,622GS2035,GS,202,202,100.00
20,8,63MOONS,EQ,94441,60464,64.02
20,9,A2ZINFRA,EQ,574618,390777,68.01
20,10,AAATECH,SM,3000,3000,100.00
20,11,AARON,EQ,2173,1562,71.88
20,12,AARTIDRUGS,EQ,455946,168210,36.89
20,13,AARTIIND,EQ,186136,94436,50.73
20,14,AARTISURF,EQ,78555,37913,48.26
20,15,AARVEEDEN,EQ,8490,5764,67.89
20,16,AARVI,EQ,16711,10691,63.98
20,17,AAVAS,EQ,23014,10978,47.70
20,18,ABAN,EQ,177041,136472,77.08
20,19,ABB,EQ,63126,17945,28.43
20,20,ABBOTINDIA,EQ,9970,5267,52.83
20,21,ABCAPITAL,EQ,2670930,1566657,58.66
20,22,ABFRL,EQ,5514935,1460421,26.48
20,23,ABFRLPP1,E1,42118,29679,70.47
20,24,ABMINTLTD,EQ,128,128,100.00
20,25,ABSLBANETF,EQ,386,282,73.06
20,26,ABSLNN50ET,EQ,280,50,17.86
20,27,ABSLRIF6RG,MF,102505,100005,97.56
20,28,ACC,EQ,2338230,190685,8.16
20,29,ACCELYA,EQ,2066,1585,76.72
20,30,ACCURACY,EQ,13991,11980,85.63
20,31,ACE,EQ,720797,335831,46.59
20,32,ACRYSIL,EQ,76365,44964,58.88
20,33,ADANIENT,EQ,7109101,656464,9.23
20,34,ADANIGREEN,EQ,595718,318471,53.46
20,35,ADANIPORTS,EQ,17665200,2561470,14.50
20,36,ADANIPOWER,EQ,52415895,16780496,32.01
20,37,ADANITRANS,EQ,863616,363320,42.07
20,38,ADFFOODS,EQ,42901,16384,38.19
20,39,ADHUNIKIND,EQ,34199,18675,54.61
20,40,ADORWELD,EQ,51174,32521,63.55
20,41,ADROITINFO,EQ,3950,3950,100.00
20,42,ADSL,EQ,105351,79142,75.12
20,43,ADVANIHOTR,EQ,24365,22144,90.88
20,44,ADVENZYMES,EQ,123902,66597,53.75
20,45,AEGISCHEM,EQ,405713,171809,42.35
20,46,AFFLE,EQ,173449,116996,67.45
20,47,AGCNET,EQ,2811,2217,78.87
20,48,AGRITECH,EQ,3787,2322,61.32
20,49,AGROPHOS,EQ,32555,21905,67.29
20,50,AHLADA,EQ,15479,15479,100.00
20,51,AHLEAST,EQ,9950,9241,92.87
20,52,AHLUCONT,EQ,14629,7686,52.54
20,53,AHLWEST,EQ,3882,2905,74.83
20,54,AIAENG,EQ,91121,48868,53.63
20,55,AIRAN,EQ,120159,93659,77.95
20,56,AISL,SM,3600,3600,100.00
20,57,AJANTPHARM,EQ,88631,42875,48.37
20,58,AJMERA,EQ,73272,25034,34.17
20,59,AJOONI,SM,32000,24000,75.00
20,60,AKASH,EQ,82613,35303,42.73
20,61,AKG,EQ,187915,49016,26.08
20,62,AKSHARCHEM,EQ,14459,9120,63.07
20,63,AKSHOPTFBR,EQ,226753,136487,60.19
20,64,AKZOINDIA,EQ,27494,17200,62.56
20,65,ALANKIT,EQ,149359,90114,60.33
20,66,ALBERTDAVD,EQ,8691,6164,70.92
20,67,ALEMBICLTD,EQ,218949,138701,63.35
20,68,ALICON,EQ,6095,3214,52.73
20,69,ALKALI,EQ,5696,4729,83.02
20,70,ALKEM,EQ,116162,76918,66.22
20,71,ALKYLAMINE,EQ,21446,7780,36.28
20,72,ALLCARGO,EQ,931636,344972,37.03
20,73,ALLSEC,EQ,9450,5873,62.15
20,74,ALMONDZ,EQ,17315,13915,80.36
20,75,ALOKINDS,EQ,13301175,4513188,33.93
20,76,ALPA,EQ,45194,32940,72.89
20,77,ALPHAGEO,EQ,24890,19357,77.77
20,78,AMARAJABAT,EQ,1133036,391608,34.56
20,79,AMBER,EQ,302869,112898,37.28
20,80,AMBIKCO,EQ,15794,10876,68.86
20,81,AMBUJACEM,EQ,14706128,3004128,20.43
20,82,AMDIND,EQ,27327,19762,72.32
20,83,AMJLAND,EQ,10677,7467,69.94
20,84,AMRUTANJAN,EQ,155185,38890,25.06
20,85,ANANTRAJ,EQ,379392,379392,100.00
20,86,ANDHRACEMT,EQ,464038,258799,55.77
20,87,ANDHRAPAP,EQ,183835,91645,49.85
20,88,ANDHRSUGAR,EQ,336413,122545,36.43
20,89,ANGELBRKG,EQ,119155,54167,45.46
20,90,ANIKINDS,EQ,27977,23697,84.70
20,91,ANKITMETAL,EQ,187347,170205,90.85
20,92,ANSALAPI,EQ,360528,222000,61.58
20,93,ANSALHSG,EQ,120950,95249,78.75
20,94,ANUP,EQ,101061,90965,90.01
20,95,APARINDS,EQ,75053,44414,59.18
20,96,APCL,EQ,642804,203132,31.60
20,97,APCOTEXIND,EQ,95029,32713,34.42
20,98,APEX,EQ,121939,44546,36.53
20,99,APLAPOLLO,EQ,494935,352707,71.26
20,100,APLLTD,EQ,295260,181024,61.31
20,101,APOLLO,EQ,159707,52887,33.12
20,102,APOLLOHOSP,EQ,1486110,726314,48.87
20,103,APOLLOPIPE,EQ,28082,15648,55.72
20,104,APOLLOTYRE,EQ,15118120,2891737,19.13
20,105,APOLSINHOT,EQ,1110,768,69.19
20,106,APTECHT,EQ,541720,277143,51.16
20,107,ARCHIES,EQ,34475,23594,68.44
20,108,ARENTERP,EQ,3683,3525,95.71
20,109,ARIES,EQ,34448,18479,53.64
20,110,ARIHANT,EQ,2474,1628,65.80
20,111,ARIHANTSUP,EQ,13974,2233,15.98
20,112,ARMANFIN,EQ,17640,9888,56.05
20,113,AROGRANITE,EQ,39400,20556,52.17
20,114,ARSSINFRA,EQ,44043,33340,75.70
20,115,ARTEMISMED,EQ,26476,16093,60.78
20,116,ARVIND,EQ,3302181,1728950,52.36
20,117,ARVINDFASN,EQ,1446562,494614,34.19
20,118,ARVSMART,EQ,134972,80441,59.60
20,119,ASAHIINDIA,EQ,80850,51793,64.06
20,120,ASAHISONG,EQ,27828,15040,54.05
20,121,ASALCBR,EQ,86528,56035,64.76
20,122,ASHAPURMIN,EQ,186747,123142,65.94
20,123,ASHIANA,EQ,76676,24478,31.92
20,124,ASHIMASYN,EQ,229882,162975,70.90
20,125,ASHOKA,EQ,958590,382364,39.89
20,126,ASHOKLEY,EQ,26294050,7877870,29.96
20,127,ASIANHOTNR,EQ,20801,12880,61.92
20,128,ASIANPAINT,EQ,1953642,865127,44.28
20,129,ASIANTILES,EQ,207086,132186,63.83
20,130,ASLIND,SM,4000,4000,100.00
20,131,ASPINWALL,EQ,57393,23201,40.42
20,132,ASTEC,EQ,16392,9188,56.05
20,133,ASTERDM,EQ,101663,63302,62.27
20,134,ASTRAL,EQ,121936,69738,57.19
20,135,ASTRAMICRO,EQ,3874436,1579179,40.76
20,136,ASTRAZEN,EQ,14730,7070,48.00
20,137,ASTRON,EQ,27836,17907,64.33
20,138,ATFL,EQ,17888,9717,54.32
20,139,ATGL,EQ,2833940,873203,30.81
20,140,ATLANTA,EQ,53375,41250,77.28
20,141,ATUL,EQ,14969,6470,43.22
20,142,ATULAUTO,EQ,172622,85003,49.24
20,143,AUBANK,EQ,1383020,597204,43.18
20,144,AURIONPRO,EQ,29764,17135,57.57
20,145,AUROPHARMA,EQ,1792630,838283,46.76
20,146,AUSOMENT,EQ,6957,4774,68.62
20,147,AUTOAXLES,EQ,17623,10485,59.50
20,148,AUTOIND,EQ,25168,14219,56.50
20,149,AVADHSUGAR,EQ,308893,108901,35.26
20,150,AVANTIFEED,EQ,131763,49582,37.63
20,151,AVROIND,SM,2000,2000,100.00
20,152,AVTNPL,EQ,162716,90148,55.40
20,153,AWHCL,EQ,65056,37491,57.63
20,154,AXISBANK,EQ,16358252,4674313,28.57
20,155,AXISBNKETF,EQ,2696,2626,97.40
20,156,AXISCADES,EQ,84218,49403,58.66
20,157,AXISGOLD,EQ,506218,421813,83.33
20,158,AXISNIFTY,EQ,15696,5637,35.91
20,159,AYMSYNTEX,EQ,87186,68199,78.22
20,160,BAFNAPH,EQ,2433,1752,72.01
20,161,BAGFILMS,EQ,65879,45915,69.70
20,162,BAJAJ-AUTO,EQ,719936,262344,36.44
20,163,BAJAJCON,EQ,664361,316334,47.61
20,164,BAJAJELEC,EQ,227177,91110,40.11
20,165,BAJAJFINSV,EQ,355126,55493,15.63
20,166,BAJAJHIND,EQ,18605761,8922861,47.96
20,167,BAJAJHLDNG,EQ,38966,27421,70.37
20,168,BAJFINANCE,EQ,2075760,476392,22.95
20,169,BALAJITELE,EQ,3706045,962946,25.98
20,170,BALAMINES,EQ,194553,44839,23.05
20,171,BALAXI,EQ,26260,8054,30.67
