,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1338, 01-Jan-2021,PNB,24699,34.35,71909145,31.6
734, 01-Jan-2021,ICICIBANK,23852,529.68,4502751,33.13
168, 01-Jan-2021,AWHCL,22279,442.71,5032976,21.82
670, 01-Jan-2021,HDFCBANK,20443,1433.57,1426213,32.37
1421, 01-Jan-2021,RELIANCE,20156,1989.5,1013314,21.92
754, 01-Jan-2021,IDEA,16039,11.0,145821525,34.41
1792, 01-Jan-2021,TCS,14687,2913.52,504010,18.8
233, 01-Jan-2021,BHARTIARTL,14626,511.92,2857212,28.05
667, 01-Jan-2021,HDFC,14540,2574.95,564766,27.49
234, 01-Jan-2021,BHEL,14279,37.75,37829738,30.59
815, 01-Jan-2021,INFY,13754,1261.66,1089987,25.63
1511, 01-Jan-2021,SBIN,13314,278.33,4783442,19.5
183, 01-Jan-2021,BAJFINANCE,13138,5302.83,247821,17.12
848, 01-Jan-2021,ITC,12864,212.11,6064448,31.06
284, 01-Jan-2021,CANBK,11851,131.76,8995889,27.21
217, 01-Jan-2021,BEL,11744,126.04,9318588,13.86
1040, 01-Jan-2021,M&M,10466,737.58,1418987,14.87
1724, 01-Jan-2021,SUNPHARMA,10122,593.06,1706553,20.74
1977, 01-Jan-2021,YESBANK,10014,18.13,55230626,37.81
1774, 01-Jan-2021,TATAMOTORS,9211,185.68,4960812,18.15
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1338, 01-Jan-2021,PNB,24699,34.35,71909145,31.6
734, 01-Jan-2021,ICICIBANK,23852,529.68,4502751,33.13
168, 01-Jan-2021,AWHCL,22279,442.71,5032976,21.82
670, 01-Jan-2021,HDFCBANK,20443,1433.57,1426213,32.37
1421, 01-Jan-2021,RELIANCE,20156,1989.5,1013314,21.92
754, 01-Jan-2021,IDEA,16039,11.0,145821525,34.41
1792, 01-Jan-2021,TCS,14687,2913.52,504010,18.8
233, 01-Jan-2021,BHARTIARTL,14626,511.92,2857212,28.05
667, 01-Jan-2021,HDFC,14540,2574.95,564766,27.49
234, 01-Jan-2021,BHEL,14279,37.75,37829738,30.59
815, 01-Jan-2021,INFY,13754,1261.66,1089987,25.63
1511, 01-Jan-2021,SBIN,13314,278.33,4783442,19.5
183, 01-Jan-2021,BAJFINANCE,13138,5302.83,247821,17.12
848, 01-Jan-2021,ITC,12864,212.11,6064448,31.06
284, 01-Jan-2021,CANBK,11851,131.76,8995889,27.21
217, 01-Jan-2021,BEL,11744,126.04,9318588,13.86
1040, 01-Jan-2021,M&M,10466,737.58,1418987,14.87
1724, 01-Jan-2021,SUNPHARMA,10122,593.06,1706553,20.74
1977, 01-Jan-2021,YESBANK,10014,18.13,55230626,37.81
1774, 01-Jan-2021,TATAMOTORS,9211,185.68,4960812,18.15
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1469, 04-Jan-2021,RELIANCE,76707,1982.61,3869604,34.2
675, 04-Jan-2021,HDFCBANK,53268,1417.2,3758410,47.76
832, 04-Jan-2021,INFY,42736,1278.28,3343139,46.38
672, 04-Jan-2021,HDFC,36451,2568.41,1419319,50.76
1851, 04-Jan-2021,TCS,35443,2998.15,1182335,23.12
1834, 04-Jan-2021,TATASTEEL,33530,673.91,4975407,13.03
743, 04-Jan-2021,ICICIBANK,31879,530.07,6014993,36.34
171, 04-Jan-2021,AXISBANK,31184,626.37,4978865,35.39
236, 04-Jan-2021,BHARTIARTL,31055,516.17,6016122,45.44
185, 04-Jan-2021,BAJFINANCE,28169,5245.98,536963,23.01
985, 04-Jan-2021,KOTAKBANK,27846,1970.29,1413334,44.99
763, 04-Jan-2021,IDEA,22256,11.82,188343098,28.98
2039, 04-Jan-2021,YESBANK,20187,18.14,111285825,51.79
686, 04-Jan-2021,HEROMOTOCO,19178,3060.4,626592,39.17
676, 04-Jan-2021,HDFCLIFE,18892,689.56,2739956,54.45
1562, 04-Jan-2021,SBIN,18347,281.41,6521226,20.73
1057, 04-Jan-2021,LT,18322,1313.38,1395227,34.75
1831, 04-Jan-2021,TATAMOTORS,18208,191.13,9524998,14.89
867, 04-Jan-2021,ITC,18155,214.25,8472342,31.51
1784, 04-Jan-2021,SUNPHARMA,17737,603.32,2940315,25.95
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1465, 05-Jan-2021,RELIANCE,102537,1968.87,5208047,46.78
668, 05-Jan-2021,HDFC,82541,2631.43,3136561,53.43
185, 05-Jan-2021,BAJFINANCE,51682,5120.58,1009430,25.53
171, 05-Jan-2021,AXISBANK,48785,649.82,7508705,19.77
1846, 05-Jan-2021,TCS,47949,3084.07,1554550,26.8
742, 05-Jan-2021,ICICIBANK,45836,530.42,8641365,37.07
671, 05-Jan-2021,HDFCBANK,43195,1419.93,3041961,42.29
829, 05-Jan-2021,INFY,43169,1289.82,3346702,41.09
2023, 05-Jan-2021,WIPRO,32850,403.28,8146042,32.38
700, 05-Jan-2021,HINDUNILVR,29282,2434.78,1202759,51.04
235, 05-Jan-2021,BHARTIARTL,29035,514.07,5647859,53.83
1827, 05-Jan-2021,TATAMOTORS,27497,188.96,14548984,19.21
984, 05-Jan-2021,KOTAKBANK,27368,1949.97,1403507,43.01
672, 05-Jan-2021,HDFCLIFE,27196,705.54,3855013,55.42
667, 05-Jan-2021,HCLTECH,20594,985.02,2090745,29.24
1830, 05-Jan-2021,TATASTEEL,20454,683.0,2994766,13.9
823, 05-Jan-2021,INDUSINDBK,20432,908.87,2248543,18.88
198, 05-Jan-2021,BANDHANBNK,17480,398.01,4392050,37.4
264, 05-Jan-2021,BRITANNIA,17016,3549.51,479432,66.1
1551, 05-Jan-2021,SBICARD,17006,904.02,1880986,48.64
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1461, 06-Jan-2021,RELIANCE,174286,1928.17,9038101,42.21
672, 06-Jan-2021,HDFCBANK,63459,1423.55,4458054,40.28
234, 06-Jan-2021,BHARTIARTL,56029,525.27,10666667,35.24
183, 06-Jan-2021,BAJFINANCE,51626,5058.0,1020849,28.29
868, 06-Jan-2021,ITC,49185,207.11,23747706,48.4
669, 06-Jan-2021,HDFC,44388,2642.51,1679728,49.39
169, 06-Jan-2021,AXISBANK,43948,659.35,6664514,32.0
745, 06-Jan-2021,ICICIBANK,43785,544.25,8046348,28.55
1382, 06-Jan-2021,POWERGRID,36759,192.87,19059736,62.44
831, 06-Jan-2021,INFY,35828,1288.38,2780840,38.83
987, 06-Jan-2021,KOTAKBANK,32725,1966.12,1664533,48.21
1836, 06-Jan-2021,TCS,32468,3078.56,1054841,28.3
1815, 06-Jan-2021,TATAMOTORS,27814,194.82,14274504,18.88
1054, 06-Jan-2021,LT,27407,1318.01,2079697,45.05
1717, 06-Jan-2021,SRTRANSFIN,24438,1172.95,2083331,23.39
1208, 06-Jan-2021,NAUKRI,24237,5481.62,442026,10.63
1546, 06-Jan-2021,SBICARD,24210,956.38,2531780,33.95
2013, 06-Jan-2021,WIPRO,22488,410.04,5485151,24.39
1818, 06-Jan-2021,TATASTEEL,21489,685.3,3135082,15.99
702, 06-Jan-2021,HINDUNILVR,19917,2424.17,821704,50.05
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1447, 07-Jan-2021,RELIANCE,123873,1919.86,6452659,43.25
825, 07-Jan-2021,INFY,68267,1266.59,5389517,49.2
669, 07-Jan-2021,HDFCBANK,64277,1422.34,4519188,45.43
230, 07-Jan-2021,BHARTIARTL,61396,544.18,11281016,29.14
666, 07-Jan-2021,HDFC,59396,2680.83,2215445,53.96
738, 07-Jan-2021,ICICIBANK,53848,546.2,9858553,46.64
