,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1816, 07-Jan-2021,TCS,45153,3028.74,1490971,40.1
1800, 07-Jan-2021,TATASTEEL,37034,719.13,5148556,13.47
859, 07-Jan-2021,ITC,33755,203.92,16551803,47.36
698, 07-Jan-2021,HINDUNILVR,32928,2381.05,1383071,57.53
977, 07-Jan-2021,KOTAKBANK,31454,1959.76,1604889,46.94
179, 07-Jan-2021,BAJFINANCE,29484,5079.71,580409,19.12
819, 07-Jan-2021,INDUSINDBK,26498,948.74,2793607,22.98
1700, 07-Jan-2021,SRTRANSFIN,26265,1265.05,2076073,22.66
165, 07-Jan-2021,AXISBANK,25612,668.78,3830175,21.41
1043, 07-Jan-2021,LT,25438,1339.79,1898707,44.46
1535, 07-Jan-2021,SBIN,24748,289.15,8560453,28.02
759, 07-Jan-2021,IDFC,24020,42.65,56306806,40.11
1372, 07-Jan-2021,POWERGRID,21226,199.06,10663774,47.24
665, 07-Jan-2021,HCLTECH,21141,969.71,2179991,41.44
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1457, 08-Jan-2021,RELIANCE,101995,1923.06,5303550,41.73
836, 08-Jan-2021,INFY,73380,1298.1,5653372,42.87
673, 08-Jan-2021,HDFC,64326,2646.97,2430085,54.04
873, 08-Jan-2021,ITC,63022,202.74,31087312,55.09
749, 08-Jan-2021,ICICIBANK,57705,541.01,10666796,48.62
1838, 08-Jan-2021,TCS,54418,3100.97,1754802,29.85
1116, 08-Jan-2021,MARUTI,49658,7900.46,628669,24.58
676, 08-Jan-2021,HDFCBANK,48343,1432.81,3373763,49.01
2012, 08-Jan-2021,WIPRO,42660,423.56,10074049,24.57
183, 08-Jan-2021,BAJFINANCE,40001,5093.85,785268,26.19
705, 08-Jan-2021,HINDUNILVR,39905,2376.68,1679133,60.01
169, 08-Jan-2021,AXISBANK,38170,673.19,5669577,46.2
234, 08-Jan-2021,BHARTIARTL,34711,542.82,6394886,44.81
990, 08-Jan-2021,KOTAKBANK,34008,1962.11,1733152,53.12
829, 08-Jan-2021,INDUSINDBK,29256,955.87,3061063,28.24
1822, 08-Jan-2021,TATASTEEL,28617,716.26,3996244,20.67
1841, 08-Jan-2021,TECHM,28169,1038.55,2712542,29.23
672, 08-Jan-2021,HCLTECH,27731,986.68,2810366,34.98
1057, 08-Jan-2021,LT,26539,1370.01,1937169,38.86
1132, 08-Jan-2021,MCDOWELL-N,26007,627.69,4143072,52.4
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1457, 08-Jan-2021,RELIANCE,101995,1923.06,5303550,41.73
836, 08-Jan-2021,INFY,73380,1298.1,5653372,42.87
673, 08-Jan-2021,HDFC,64326,2646.97,2430085,54.04
873, 08-Jan-2021,ITC,63022,202.74,31087312,55.09
749, 08-Jan-2021,ICICIBANK,57705,541.01,10666796,48.62
1838, 08-Jan-2021,TCS,54418,3100.97,1754802,29.85
1116, 08-Jan-2021,MARUTI,49658,7900.46,628669,24.58
676, 08-Jan-2021,HDFCBANK,48343,1432.81,3373763,49.01
2012, 08-Jan-2021,WIPRO,42660,423.56,10074049,24.57
183, 08-Jan-2021,BAJFINANCE,40001,5093.85,785268,26.19
705, 08-Jan-2021,HINDUNILVR,39905,2376.68,1679133,60.01
169, 08-Jan-2021,AXISBANK,38170,673.19,5669577,46.2
234, 08-Jan-2021,BHARTIARTL,34711,542.82,6394886,44.81
990, 08-Jan-2021,KOTAKBANK,34008,1962.11,1733152,53.12
829, 08-Jan-2021,INDUSINDBK,29256,955.87,3061063,28.24
1822, 08-Jan-2021,TATASTEEL,28617,716.26,3996244,20.67
1841, 08-Jan-2021,TECHM,28169,1038.55,2712542,29.23
672, 08-Jan-2021,HCLTECH,27731,986.68,2810366,34.98
1057, 08-Jan-2021,LT,26539,1370.01,1937169,38.86
1132, 08-Jan-2021,MCDOWELL-N,26007,627.69,4143072,52.4
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1462, 11-Jan-2021,RELIANCE,147053,1910.26,7697815,50.08
672, 11-Jan-2021,HDFC,101454,2719.37,3730773,62.81
1853, 11-Jan-2021,TCS,100107,3174.16,3153741,33.17
834, 11-Jan-2021,INFY,87963,1366.8,6434782,31.35
1832, 11-Jan-2021,TATAMOTORS,54096,211.45,25583098,14.02
2028, 11-Jan-2021,WIPRO,49313,444.84,11087896,23.42
675, 11-Jan-2021,HDFCBANK,48570,1452.8,3343315,38.58
232, 11-Jan-2021,BHARTIARTL,47909,548.55,8733229,44.73
744, 11-Jan-2021,ICICIBANK,44351,540.62,8203892,42.3
703, 11-Jan-2021,HINDUNILVR,40438,2429.43,1664561,59.71
873, 11-Jan-2021,ITC,38585,203.15,18992891,44.2
181, 11-Jan-2021,BAJFINANCE,35874,5001.35,717361,24.53
671, 11-Jan-2021,HCLTECH,34223,1033.95,3310390,24.73
993, 11-Jan-2021,KOTAKBANK,31151,1950.73,1596797,53.31
1124, 11-Jan-2021,MARUTI,30474,8134.13,374554,17.17
827, 11-Jan-2021,INDUSINDBK,25857,934.63,2766434,32.86
1555, 11-Jan-2021,SBIN,25139,282.5,8900394,29.96
1835, 11-Jan-2021,TATASTEEL,21694,695.6,3118707,18.32
1062, 11-Jan-2021,LT,21221,1355.09,1565984,48.15
1856, 11-Jan-2021,TECHM,17010,1060.93,1603188,24.71
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1437, 12-Jan-2021,RELIANCE,173944,1935.51,8987850,47.31
140, 12-Jan-2021,ASIANPAINT,130302,2742.9,4750700,71.17
975, 12-Jan-2021,KOTAKBANK,78269,1907.07,4104074,68.0
667, 12-Jan-2021,HDFCBANK,68411,1469.44,4655926,45.67
1794, 12-Jan-2021,TATAMOTORS,55166,238.18,23171897,5.93
234, 12-Jan-2021,BHARTIARTL,55042,559.81,9832210,38.74
664, 12-Jan-2021,HDFC,53215,2736.57,1944551,56.99
1814, 12-Jan-2021,TCS,52807,3187.07,1656842,45.88
824, 12-Jan-2021,INFY,50061,1369.78,3655022,43.98
1530, 12-Jan-2021,SBIN,42405,286.89,14782759,33.36
196, 12-Jan-2021,BANDHANBNK,36730,395.96,9276076,45.77
738, 12-Jan-2021,ICICIBANK,33936,544.09,6237728,38.06
857, 12-Jan-2021,ITC,31915,204.4,15613483,43.84
695, 12-Jan-2021,HINDUNILVR,29013,2387.74,1215052,59.66
1101, 12-Jan-2021,MARUTI,27811,8225.92,338140,22.33
1365, 12-Jan-2021,POWERGRID,26195,203.29,12885535,72.83
169, 12-Jan-2021,AXISBANK,25172,673.93,3735145,28.08
663, 12-Jan-2021,HCLTECH,23671,1049.24,2256014,33.67
138, 12-Jan-2021,ASHOKLEY,23185,122.09,18990953,22.71
1797, 12-Jan-2021,TATASTEEL,22708,707.89,3208844,13.08
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
235, 13-Jan-2021,BHARTIARTL,142972,586.01,24401136,29.16
831, 13-Jan-2021,INFY,89503,1378.96,6490234,44.94
1453, 13-Jan-2021,RELIANCE,85109,1948.25,4368602,35.56
668, 13-Jan-2021,HDFC,84370,2697.06,3127974,56.04
983, 13-Jan-2021,KOTAKBANK,73271,1885.87,3885206,69.59
1841, 13-Jan-2021,TCS,58452,3147.46,1857249,51.98
671, 13-Jan-2021,HDFCBANK,56721,1476.17,3842475,45.38
1545, 13-Jan-2021,SBIN,47360,301.17,15723571,20.15
745, 13-Jan-2021,ICICIBANK,45069,554.8,8122765,37.06
866, 13-Jan-2021,ITC,44062,210.15,20966166,32.8
1061, 13-Jan-2021,M&M,36461,820.15,4445386,22.67
143, 13-Jan-2021,ASIANPAINT,34573,2710.34,1275675,44.56
1822, 13-Jan-2021,TATAMOTORS,34071,243.45,13997353,8.5
197, 13-Jan-2021,BANDHANBNK,33993,380.67,8929334,41.08
170, 13-Jan-2021,AXISBANK,33774,682.48,4948904,31.63
184, 13-Jan-2021,BAJFINANCE,33130,4940.77,670386,20.51
2019, 13-Jan-2021,WIPRO,31979,460.7,6942477,23.78
1052, 13-Jan-2021,LT,31637,1355.98,2333312,53.15
667, 13-Jan-2021,HCLTECH,27861,1054.37,2642687,39.49
423, 13-Jan-2021,DIVISLAB,21639,3726.27,580710,50.83
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
828, 14-Jan-2021,INFY,140965,1359.34,10370390,37.68
1435, 14-Jan-2021,RELIANCE,102283,1957.17,5225648,52.54
1812, 14-Jan-2021,TCS,98370,3207.17,3067056,44.25
1493, 14-Jan-2021,SAIL,87628,67.93,129001726,40.27
667, 14-Jan-2021,HDFC,73010,2671.94,2732578,64.24
666, 14-Jan-2021,HCLTECH,62046,1026.49,6044427,40.24
979, 14-Jan-2021,KOTAKBANK,57378,1894.8,3028209,63.04
1987, 14-Jan-2021,WIPRO,54416,450.54,12075899,16.88
234, 14-Jan-2021,BHARTIARTL,40292,578.26,6968221,41.82
670, 14-Jan-2021,HDFCBANK,39420,1468.8,2684066,43.65
1527, 14-Jan-2021,SBIN,35974,307.16,11711561,29.19
740, 14-Jan-2021,ICICIBANK,33867,553.49,6118968,45.9
861, 14-Jan-2021,ITC,32477,214.33,15152865,31.37
142, 14-Jan-2021,ASIANPAINT,28240,2667.03,1058846,49.83
1047, 14-Jan-2021,LT,28155,1375.59,2046740,39.6
821, 14-Jan-2021,INDUSINDBK,27264,971.06,2807875,18.86
699, 14-Jan-2021,HINDUNILVR,25437,2388.27,1065059,50.23
183, 14-Jan-2021,BAJFINANCE,23347,4898.18,476743,17.78
1056, 14-Jan-2021,M&M,23263,833.55,2790626,32.54
1793, 14-Jan-2021,TATAMOTORS,23025,244.21,9427551,10.86
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
824, 15-Jan-2021,INFY,109643,1352.96,8103557,53.96
232, 15-Jan-2021,BHARTIARTL,98583,601.78,16380024,29.05
1501, 15-Jan-2021,SAIL,77485,70.25,110305686,34.15
1444, 15-Jan-2021,RELIANCE,77090,1952.72,3947767,41.54
664, 15-Jan-2021,HCLTECH,69655,1009.81,6898115,29.02
1828, 15-Jan-2021,TCS,63498,3240.98,1959292,47.42
861, 15-Jan-2021,ITC,43384,215.81,20103362,34.47
1807, 15-Jan-2021,TATAMOTORS,40691,255.48,15930209,6.37
668, 15-Jan-2021,HDFCBANK,40442,1458.15,2773489,39.16
740, 15-Jan-2021,ICICIBANK,38912,545.13,7138795,45.44
139, 15-Jan-2021,ASIANPAINT,36543,2615.33,1397161,54.36
665, 15-Jan-2021,HDFC,33401,2645.58,1262664,48.88
760, 15-Jan-2021,IDEA,31024,13.2,235086434,19.2
697, 15-Jan-2021,HINDUNILVR,29267,2369.12,1235348,60.47
1919, 15-Jan-2021,UPL,28312,521.28,5430512,27.38
167, 15-Jan-2021,AXISBANK,25719,675.83,3805737,30.84
1831, 15-Jan-2021,TECHM,23978,1022.59,2344734,38.67
981, 15-Jan-2021,KOTAKBANK,22760,1868.24,1218291,44.87
1535, 15-Jan-2021,SBIN,22336,306.2,7294222,20.66
1055, 15-Jan-2021,M&M,18441,824.33,2237085,44.77
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
824, 15-Jan-2021,INFY,109643,1352.96,8103557,53.96
232, 15-Jan-2021,BHARTIARTL,98583,601.78,16380024,29.05
1501, 15-Jan-2021,SAIL,77485,70.25,110305686,34.15
1444, 15-Jan-2021,RELIANCE,77090,1952.72,3947767,41.54
664, 15-Jan-2021,HCLTECH,69655,1009.81,6898115,29.02
1828, 15-Jan-2021,TCS,63498,3240.98,1959292,47.42
861, 15-Jan-2021,ITC,43384,215.81,20103362,34.47
1807, 15-Jan-2021,TATAMOTORS,40691,255.48,15930209,6.37
668, 15-Jan-2021,HDFCBANK,40442,1458.15,2773489,39.16
740, 15-Jan-2021,ICICIBANK,38912,545.13,7138795,45.44
139, 15-Jan-2021,ASIANPAINT,36543,2615.33,1397161,54.36
665, 15-Jan-2021,HDFC,33401,2645.58,1262664,48.88
760, 15-Jan-2021,IDEA,31024,13.2,235086434,19.2
697, 15-Jan-2021,HINDUNILVR,29267,2369.12,1235348,60.47
1919, 15-Jan-2021,UPL,28312,521.28,5430512,27.38
167, 15-Jan-2021,AXISBANK,25719,675.83,3805737,30.84
1831, 15-Jan-2021,TECHM,23978,1022.59,2344734,38.67
981, 15-Jan-2021,KOTAKBANK,22760,1868.24,1218291,44.87
1535, 15-Jan-2021,SBIN,22336,306.2,7294222,20.66
1055, 15-Jan-2021,M&M,18441,824.33,2237085,44.77
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
678, 18-Jan-2021,HDFCBANK,120165,1488.94,8069668,37.69
1471, 18-Jan-2021,RELIANCE,118350,1967.71,6014603,37.13
675, 18-Jan-2021,HDFC,83731,2580.07,3245275,62.96
1864, 18-Jan-2021,TCS,71205,3230.06,2204487,52.98
837, 18-Jan-2021,INFY,52332,1320.52,3963352,44.72
752, 18-Jan-2021,ICICIBANK,49698,539.34,9214897,42.7
182, 18-Jan-2021,BAJFINANCE,46284,4746.63,975226,26.33
232, 18-Jan-2021,BHARTIARTL,44480,593.11,7499246,35.77
1564, 18-Jan-2021,SBIN,42354,299.23,14155561,25.75
1956, 18-Jan-2021,UPL,38181,547.19,6976048,18.77
674, 18-Jan-2021,HCLTECH,37586,990.09,3795828,29.32
878, 18-Jan-2021,ITC,35804,218.93,16354918,24.19
830, 18-Jan-2021,INDUSINDBK,34316,937.24,3661410,34.32
1843, 18-Jan-2021,TATAMOTORS,33649,249.46,13485876,7.78
1529, 18-Jan-2021,SAIL,32601,66.81,48792182,42.54
168, 18-Jan-2021,AXISBANK,31108,665.06,4677641,34.75
999, 18-Jan-2021,KOTAKBANK,28508,1848.3,1542649,30.82
143, 18-Jan-2021,ASIANPAINT,28309,2580.1,1097346,45.81
1846, 18-Jan-2021,TATASTEEL,23912,675.22,3541651,14.14
706, 18-Jan-2021,HINDUNILVR,23109,2348.24,984021,56.76
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1437, 19-Jan-2021,RELIANCE,122195,2018.21,6055057,40.99
735, 19-Jan-2021,ICICIBANK,63971,540.53,11834015,57.52
977, 19-Jan-2021,KOTAKBANK,63126,1871.0,3374148,70.21
1805, 19-Jan-2021,TATASTEEL,54503,669.37,8142741,26.06
665, 19-Jan-2021,HDFCBANK,48801,1490.12,3275007,37.73
662, 19-Jan-2021,HDFC,48033,2630.4,1825932,51.16
1821, 19-Jan-2021,TCS,45883,3256.44,1409143,47.35
823, 19-Jan-2021,INFY,33997,1320.27,2574937,46.1
1194, 19-Jan-2021,NAUKRI,33177,4927.17,673375,69.93
182, 19-Jan-2021,BAJFINANCE,33013,4900.72,673806,14.13
1529, 19-Jan-2021,SBIN,30189,299.11,10094694,28.19
168, 19-Jan-2021,AXISBANK,25040,667.4,3752374,41.64
1802, 19-Jan-2021,TATAMOTORS,24761,256.26,9668841,7.06
859, 19-Jan-2021,ITC,23675,219.4,10792355,33.95
661, 19-Jan-2021,HCLTECH,22919,985.98,2324669,36.39
1042, 19-Jan-2021,LT,21462,1367.17,1569737,40.4
231, 19-Jan-2021,BHARTIARTL,21434,593.22,3612661,33.36
816, 19-Jan-2021,INDUSINDBK,20695,943.67,2192991,34.76
140, 19-Jan-2021,ASIANPAINT,20450,2637.82,775172,30.3
694, 19-Jan-2021,HINDUNILVR,18626,2356.53,790460,52.86
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1443, 20-Jan-2021,RELIANCE,135967,2036.58,6676332,46.78
667, 20-Jan-2021,HDFC,86832,2665.86,3256961,56.44
1819, 20-Jan-2021,TCS,49511,3304.97,1498128,43.38
670, 20-Jan-2021,HDFCBANK,44137,1493.75,2954825,44.28
826, 20-Jan-2021,INFY,42803,1338.37,3198588,38.88
864, 20-Jan-2021,ITC,42418,217.39,19511559,43.68
742, 20-Jan-2021,ICICIBANK,40332,551.04,7319843,45.47
1798, 20-Jan-2021,TATAMOTORS,32247,271.49,11869707,5.79
984, 20-Jan-2021,KOTAKBANK,29798,1878.33,1586357,52.16
666, 20-Jan-2021,HCLTECH,28581,1001.18,2855089,38.35
1051, 20-Jan-2021,LT,28560,1382.87,2065384,52.18
166, 20-Jan-2021,AXISBANK,26825,675.49,3971012,39.79
231, 20-Jan-2021,BHARTIARTL,25167,596.29,4220175,32.25
1534, 20-Jan-2021,SBIN,22401,301.07,7439506,22.04
1992, 20-Jan-2021,WIPRO,20521,443.71,4623935,18.94
1801, 20-Jan-2021,TATASTEEL,20462,690.58,2962126,12.71
37, 20-Jan-2021,ADANIPORTS,19432,550.15,3532669,24.46
193, 20-Jan-2021,BANDHANBNK,19060,361.07,5279249,36.25
137, 20-Jan-2021,ASIANPAINT,18251,2685.07,679756,32.91
180, 20-Jan-2021,BAJFINANCE,18017,4968.56,362774,10.94
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1442, 21-Jan-2021,RELIANCE,134268,2102.61,6386636,35.4
669, 21-Jan-2021,HDFCBANK,108092,1479.22,7307429,55.5
1801, 21-Jan-2021,TATAMOTORS,88919,291.38,30509002,10.76
181, 21-Jan-2021,BAJFINANCE,77747,5149.5,1509917,21.38
982, 21-Jan-2021,KOTAKBANK,69730,1888.05,3693211,65.15
736, 21-Jan-2021,ICICIBANK,49847,556.1,8963282,49.28
666, 21-Jan-2021,HDFC,46790,2669.14,1753076,54.78
824, 21-Jan-2021,INFY,40783,1344.32,3033502,49.39
1822, 21-Jan-2021,TCS,40122,3281.88,1222458,44.0
167, 21-Jan-2021,AXISBANK,35786,686.3,5214484,32.9
665, 21-Jan-2021,HCLTECH,33116,1003.92,3298387,37.24
232, 21-Jan-2021,BHARTIARTL,32563,590.56,5513829,32.32
194, 21-Jan-2021,BANDHANBNK,27422,355.53,7713806,22.39
139, 21-Jan-2021,ASIANPAINT,25193,2744.75,918006,18.3
817, 21-Jan-2021,INDUSINDBK,24518,950.04,2580993,31.41
1049, 21-Jan-2021,LT,22602,1384.6,1632398,54.68
2002, 21-Jan-2021,WIPRO,20664,448.46,4607464,28.96
178, 21-Jan-2021,BAJAJFINSV,20041,9241.6,216816,13.18
864, 21-Jan-2021,ITC,18536,216.38,8567443,29.54
1533, 21-Jan-2021,SBIN,18522,300.2,6169577,20.57
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
823, 22-Jan-2021,INFY,79513,1344.65,5913234,61.3
663, 22-Jan-2021,HDFC,78966,2623.61,3009692,60.03
1444, 22-Jan-2021,RELIANCE,72749,2070.96,3512524,24.93
736, 22-Jan-2021,ICICIBANK,68491,540.16,12680501,51.72
1801, 22-Jan-2021,TATAMOTORS,68275,296.37,23030772,7.29
167, 22-Jan-2021,AXISBANK,52042,650.47,8001295,37.4
666, 22-Jan-2021,HDFCBANK,51993,1454.4,3575009,46.45
1821, 22-Jan-2021,TCS,46840,3300.02,1419347,46.5
139, 22-Jan-2021,ASIANPAINT,40261,2675.27,1504768,30.43
977, 22-Jan-2021,KOTAKBANK,38167,1838.13,2076355,48.31
1534, 22-Jan-2021,SBIN,36242,289.3,12528656,28.19
694, 22-Jan-2021,HINDUNILVR,34931,2401.25,1454715,57.09
236, 22-Jan-2021,BIOCON,33958,402.57,8435242,29.69
194, 22-Jan-2021,BANDHANBNK,33930,321.33,10560939,29.68
1500, 22-Jan-2021,SAIL,29754,59.92,49658871,41.05
816, 22-Jan-2021,INDUSINDBK,28759,913.76,3147521,27.69
231, 22-Jan-2021,BHARTIARTL,28162,579.63,4858114,39.09
